track,mode,side,entry_price,exit_price,margin_roe,dollar_pnl,result_code,leverage
Track 2: Fixed 30X (Sweet Spot),2,SHORT,2473.389892578125,2460.681041498411,0.1421469598203972,448.9013653952913,1,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,2454.889892578125,2467.669921875,-0.18317844208222409,-603.1478677258763,0,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,2407.429931640625,2396.709181237248,0.12159579353661028,378.3738814405615,1,30.0
Track 3: Fixed 20X (Conservative),3,LONG,2384.0,2393.0,0.06750335570469798,202.51006711409394,1,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,2322.419921875,2336.6464857114256,-0.13651499999999855,-417.83869854361967,-1,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,2268.75,2243.080078125,0.20829132231404957,611.4186413303895,0,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,2249.75,2263.5314060625,-0.13651500000000075,-425.7666683104872,-1,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,2184.330078125,2186.030029296875,-0.03356496601772033,-100.39606924384942,0,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,2120.31005859375,2113.712794833743,0.05422923608052469,160.57158484490668,1,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,2000.18994140625,1994.664691393487,0.047247253257143254,142.1740559403629,1,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,1878.6800537109375,1870.0930346357666,0.08341544946100937,254.5674249806173,1,20.0
Track 3: Fixed 20X (Conservative),3,LONG,1563.719970703125,1569.9299926757812,0.07142626671019517,223.4336548323969,1,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,1621.0699462890625,1631.0002155125426,-0.13651499999999825,-436.1930280440527,-1,20.0
Track 3: Fixed 20X (Conservative),3,LONG,1632.4599609375,1641.7900085449219,0.10630660268155984,325.7600308602183,1,20.0
Track 3: Fixed 20X (Conservative),3,LONG,1638.75,1644.0075073242188,0.056164849113272304,177.59731354333272,1,20.0
Track 3: Fixed 20X (Conservative),3,LONG,1805.3499755859375,1816.3374938964844,0.11372175433165871,365.6554125531435,1,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,1740.969970703125,1731.6717732243753,0.09881628787651531,328.56891188898487,1,20.0
Track 3: Fixed 20X (Conservative),3,LONG,1670.2099609375,1659.9811775842284,-0.13648500000000183,-467.27261057007104,-1,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,1575.219970703125,1570.5516330870892,0.051272199475125416,168.34903718449837,1,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,1573.1400146484375,1582.77667709317,-0.13651499999999872,-455.1330536475448,-1,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,1592.0,1587.210878610774,0.0521648415731911,166.79195844789584,1,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,1764.93994140625,1758.2841757145613,0.06742200769036422,218.9488834961215,1,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,1755.8199462890625,1750.1481923151648,0.05660518899884905,187.54001328710766,1,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,1728.8499755859375,1724.0774997984872,0.04720983144685877,159.06814790511498,1,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,1788.5400390625,1799.496188206787,-0.136515,-466.4862942508837,-1,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,1794.4000244140625,1805.3920703636168,-0.13651499999999805,-447.3815813129795,-1,20.0
Track 3: Fixed 20X (Conservative),3,LONG,1928.3199462890625,1916.5104328580016,-0.13648500000000063,-428.9650039568968,-1,20.0
Track 3: Fixed 20X (Conservative),3,LONG,1821.1199951171875,1830.260009765625,0.0823779506341574,248.30828461434888,0,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,1879.1800537109375,1872.5716982677654,0.06233232850808643,192.5289251063352,1,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,1895.56005859375,1907.1717856226805,-0.13651499999999875,-429.54551259205255,-1,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,1837.22998046875,1848.4843920216065,-0.1365150000000004,-411.9536908966065,-1,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,2420.7900390625,2408.8773637775084,0.09041973151546004,261.6799510545071,1,20.0
Track 3: Fixed 20X (Conservative),3,LONG,2455.639892578125,2440.6009399660034,-0.13648500000000052,-405.7101281574551,-1,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,2473.389892578125,2460.681041498411,0.09476463988026482,270.1596776854251,1,20.0
Track 3: Fixed 20X (Conservative),3,SHORT,2454.889892578125,2467.669921875,-0.12211896138814939,-358.04020324352604,0,20.0
