trade_id,symbol,direction,market_type,pullback_mode,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,low_distance_to_u,high_distance_to_l,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
68,ETHUSDT,SHORT,futures,STRICT_SUPPORT,2024-06-22 01:00:00+00:00,3510.4693,3507.5569,8.7119,2024-06-22 01:00:00+00:00,3503.54,2024-06-22 01:45:00+00:00,3501.2,0.0,0.526894,2024-06-22 02:00:00+00:00,3499.7995,3.066857,10733.38,3512.2117,3487.0695,8,2024-06-22 09:30:00+00:00,3491.254,TRAILING_STOP,30,26.21,5.3667,5.3536,17.142,15.49,0.407
70,BTCUSDT,SHORT,futures,STRICT_SUPPORT,2024-06-26 15:00:00+00:00,61557.1143,61526.1506,264.7612,2024-06-26 15:00:00+00:00,61256.2,2024-06-26 16:00:00+00:00,61506.0,0.0,18.250551,2024-06-26 16:15:00+00:00,61481.3976,0.247754,15232.28,61610.0666,61340.2161,2,2024-06-26 17:30:00+00:00,61413.8244,TRAILING_STOP,5,16.74,7.6161,7.6078,24.3516,1.52,0.048
69,ETHUSDT,SHORT,futures,STRICT_SUPPORT,2024-06-26 14:45:00+00:00,3384.5778,3379.0666,11.1401,2024-06-26 14:45:00+00:00,3376.52,2024-06-26 15:00:00+00:00,3350.64,0.0,0.446562,2024-06-26 15:15:00+00:00,3349.2997,1.017086,3406.53,3386.8058,3386.8058,0,2024-06-26 19:30:00+00:00,3390.8699,STOP_LOSS,17,-42.28,1.7033,1.7244,5.5012,-45.71,-1.198
71,SOLUSDT,SHORT,futures,STRICT_SUPPORT,2024-06-26 17:30:00+00:00,136.889,136.5118,0.8916,2024-06-26 17:30:00+00:00,135.235,2024-06-26 19:15:00+00:00,136.224,0.0,0.055825,2024-06-26 19:30:00+00:00,136.1685,42.199797,5746.28,137.0673,137.0673,0,2024-06-26 19:45:00+00:00,137.2318,STOP_LOSS,1,-44.87,2.8731,2.8956,9.2479,-50.64,-1.335
72,BTCUSDT,SHORT,futures,STRICT_SUPPORT,2024-06-28 13:00:00+00:00,61555.3352,61529.1481,196.294,2024-06-28 13:00:00+00:00,61360.0,2024-06-28 13:15:00+00:00,61462.8,0.0,18.648094,2024-06-28 13:30:00+00:00,61438.3148,0.241071,14811.02,61594.594,61594.594,0,2024-06-28 13:45:00+00:00,61818.8938,STOP_LOSS,1,-91.75,7.4055,7.4514,23.8077,-106.6,-2.83
73,SOLUSDT,SHORT,futures,STRICT_SUPPORT,2024-06-29 14:30:00+00:00,142.2314,142.0074,0.5289,2024-06-29 14:30:00+00:00,141.673,2024-06-29 14:45:00+00:00,141.785,0.0,0.04144,2024-06-29 15:00:00+00:00,141.7193,60.110694,8518.84,142.3372,142.3372,0,2024-06-29 15:30:00+00:00,142.508,STOP_LOSS,2,-47.41,4.2594,4.2831,13.687,-55.95,-1.506
74,BTCUSDT,SHORT,futures,STRICT_SUPPORT,2024-07-06 04:00:00+00:00,56397.0583,56324.772,174.9318,2024-07-06 04:00:00+00:00,56307.8,2024-07-06 04:15:00+00:00,56269.3,0.0,10.371969,2024-07-06 04:30:00+00:00,56246.6923,0.198873,11185.97,56432.0446,56353.9656,1,2024-07-06 05:00:00+00:00,56421.5903,TRAILING_STOP,2,-34.78,5.593,5.6104,17.9393,-45.99,-1.248
75,BNBUSDT,SHORT,futures,STRICT_SUPPORT,2024-07-08 16:45:00+00:00,505.8357,504.4953,4.8348,2024-07-08 16:45:00+00:00,502.68,2024-07-08 17:00:00+00:00,503.39,0.0,0.1053,2024-07-08 17:15:00+00:00,503.1986,10.164001,5114.51,506.8027,506.8027,0,2024-07-08 18:30:00+00:00,507.4109,STOP_LOSS,5,-42.81,2.5573,2.5787,8.2346,-47.95,-1.309
76,ETHUSDT,SHORT,futures,STRICT_SUPPORT,2024-07-24 12:30:00+00:00,3459.053,3455.7079,8.2639,2024-07-24 12:30:00+00:00,3454.6,2024-07-24 12:45:00+00:00,3446.58,0.0,0.707876,2024-07-24 13:00:00+00:00,3445.2014,2.347204,8086.59,3460.7058,3460.7058,0,2024-07-24 13:15:00+00:00,3464.8586,STOP_LOSS,1,-46.14,4.0433,4.0664,12.9939,-54.25,-1.491
77,ETHUSDT,SHORT,futures,STRICT_SUPPORT,2024-07-24 13:45:00+00:00,3458.4642,3455.1845,12.4489,2024-07-24 13:45:00+00:00,3440.01,2024-07-24 14:15:00+00:00,3446.09,0.0,0.71451,2024-07-24 14:30:00+00:00,3444.7016,2.222484,7655.79,3460.954,3426.9115,11,2024-07-24 17:30:00+00:00,3431.0238,TRAILING_STOP,12,30.4,3.8279,3.8127,12.2128,22.76,0.63
78,ETHUSDT,SHORT,futures,STRICT_SUPPORT,2024-07-30 15:00:00+00:00,3329.1858,3326.1635,16.8725,2024-07-30 15:00:00+00:00,3309.97,2024-07-30 16:15:00+00:00,3316.04,0.0,1.16345,2024-07-30 16:30:00+00:00,3314.6936,2.02819,6722.83,3332.5603,3266.2702,14,2024-07-30 20:30:00+00:00,3270.1898,TRAILING_STOP,16,90.26,3.3614,3.3163,10.6482,83.58,2.307
79,ETHUSDT,SHORT,futures,STRICT_SUPPORT,2024-08-06 10:00:00+00:00,2480.3006,2475.4962,21.305,2024-08-06 10:00:00+00:00,2457.65,2024-08-06 10:30:00+00:00,2454.66,0.0,1.516177,2024-08-06 10:45:00+00:00,2453.6681,1.186498,2911.27,2484.5616,2457.0417,1,2024-08-06 13:30:00+00:00,2459.9902,TRAILING_STOP,11,-7.5,1.4556,1.4594,4.667,-10.42,-0.284
80,ETHUSDT,SHORT,futures,STRICT_SUPPORT,2024-08-06 22:15:00+00:00,2491.1494,2485.326,24.3855,2024-08-06 22:15:00+00:00,2460.4,2024-08-06 23:00:00+00:00,2472.67,0.0,2.015975,2024-08-06 23:15:00+00:00,2471.6809,1.503471,3716.1,2496.0265,2474.3503,4,2024-08-07 01:30:00+00:00,2477.3196,TRAILING_STOP,9,-8.48,1.858,1.8623,5.9559,-12.2,-0.333
81,SOLUSDT,SHORT,futures,STRICT_SUPPORT,2024-08-10 03:15:00+00:00,154.9188,154.5634,1.2444,2024-08-10 03:15:00+00:00,153.492,2024-08-10 03:30:00+00:00,154.421,0.0,0.114385,2024-08-10 03:45:00+00:00,154.3602,45.255838,6985.7,155.1677,154.393,5,2024-08-10 05:45:00+00:00,154.5783,TRAILING_STOP,8,-9.87,3.4929,3.4978,11.189,-16.86,-0.461
83,BNBUSDT,SHORT,futures,STRICT_SUPPORT,2024-08-12 19:30:00+00:00,514.4945,513.6531,3.334,2024-08-12 19:30:00+00:00,511.99,2024-08-12 19:45:00+00:00,512.95,0.0,0.253123,2024-08-12 20:00:00+00:00,512.7548,15.129691,7757.82,515.1613,515.1613,0,2024-08-12 20:15:00+00:00,515.7794,STOP_LOSS,1,-45.76,3.8789,3.9018,12.4674,-53.54,-1.471
82,BTCUSDT,SHORT,futures,STRICT_SUPPORT,2024-08-12 18:45:00+00:00,59387.4049,59282.1561,434.4102,2024-08-12 18:45:00+00:00,58511.2,2024-08-12 19:15:00+00:00,59129.6,0.0,13.256051,2024-08-12 19:30:00+00:00,59105.9482,0.098976,5850.09,59474.287,59188.8792,4,2024-08-12 22:15:00+00:00,59259.9058,TRAILING_STOP,11,-15.24,2.925,2.9327,9.3784,-21.1,-0.579
84,BTCUSDT,SHORT,futures,STRICT_SUPPORT,2024-08-13 04:00:00+00:00,59285.2954,59266.7064,302.7468,2024-08-13 04:00:00+00:00,58890.0,2024-08-13 05:15:00+00:00,59224.6,0.0,4.706449,2024-08-13 05:30:00+00:00,59200.8102,0.243805,14433.46,59345.8448,59345.8448,0,2024-08-13 06:45:00+00:00,59417.0598,STOP_LOSS,5,-52.72,7.2167,7.2431,23.1568,-67.18,-1.9
