trade_id,symbol,direction,market_type,pullback_mode,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,low_distance_to_u,high_distance_to_l,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
13,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-08-15 12:45:00+00:00,522.3428,521.7624,2.2167,2024-08-15 12:45:00+00:00,523.8,2024-08-15 13:00:00+00:00,526.0,0.05719,0.0,2024-08-15 13:15:00+00:00,527.1522,7.920716,4175.42,521.3191,529.7236,1,2024-08-15 17:00:00+00:00,526.5453,TRAILING_STOP,15,-4.81,13.3614,13.346,33.3745,-31.51,-0.682
14,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-10-22 18:00:00+00:00,167.365,166.8123,1.16,2024-10-22 18:00:00+00:00,167.84,2024-10-22 18:15:00+00:00,168.46,0.025042,0.0,2024-10-22 18:30:00+00:00,168.7969,20.772326,3506.3,166.5803,166.5803,0,2024-10-23 00:15:00+00:00,165.5808,STOP_LOSS,23,-66.81,11.2202,11.0064,27.6496,-89.03,-1.934
15,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-11-14 16:00:00+00:00,630.7695,628.0692,6.507,2024-11-14 16:00:00+00:00,631.53,2024-11-14 16:15:00+00:00,633.0,0.340491,0.0,2024-11-14 16:30:00+00:00,634.276,6.073278,3852.13,626.7678,626.7678,0,2024-11-14 23:00:00+00:00,623.0072,STOP_LOSS,26,-68.44,12.3268,12.1078,30.4064,-92.87,-2.037
16,BTCUSDT,LONG,spot,STRICT_SUPPORT,2024-11-18 20:15:00+00:00,90916.3554,90822.2135,669.5262,2024-11-18 20:15:00+00:00,91715.8,2024-11-18 20:45:00+00:00,91473.42,7.644564,0.0,2024-11-18 21:00:00+00:00,91656.3769,0.046624,4273.38,90688.3082,90688.3082,0,2024-11-18 23:15:00+00:00,90144.1784,STOP_LOSS,9,-70.5,13.6748,13.4492,33.764,-97.63,-2.163
17,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-12-05 09:45:00+00:00,730.7625,729.3847,4.1262,2024-12-05 09:45:00+00:00,733.28,2024-12-05 11:00:00+00:00,736.19,0.247472,0.0,2024-12-05 11:15:00+00:00,737.6724,4.899311,3614.09,728.5595,728.5595,0,2024-12-05 12:45:00+00:00,724.1881,STOP_LOSS,6,-66.06,11.5651,11.3537,28.5163,-88.98,-1.993
18,SOLUSDT,LONG,spot,STRICT_SUPPORT,2025-01-23 17:45:00+00:00,250.5885,249.2993,2.9498,2025-01-23 17:45:00+00:00,252.25,2025-01-23 18:15:00+00:00,252.92,0.07153,0.0,2025-01-23 18:30:00+00:00,253.4258,9.371827,2375.06,248.7094,248.7094,0,2025-01-23 19:00:00+00:00,247.2171,STOP_LOSS,2,-58.19,7.6002,7.414,18.6514,-73.2,-1.656
19,SOLUSDT,LONG,spot,STRICT_SUPPORT,2025-01-24 03:45:00+00:00,251.0729,250.6863,2.5674,2025-01-24 03:45:00+00:00,252.23,2025-01-24 04:00:00+00:00,252.86,0.237141,0.0,2025-01-24 04:15:00+00:00,253.3657,13.729262,3478.52,250.1728,259.596,11,2025-01-24 07:45:00+00:00,258.0385,TRAILING_STOP,14,64.15,11.1313,11.3366,28.2131,41.69,0.951
20,SOLUSDT,LONG,spot,STRICT_SUPPORT,2025-02-10 03:15:00+00:00,199.8471,199.5609,2.0691,2025-02-10 03:15:00+00:00,200.77,2025-02-10 05:00:00+00:00,201.87,0.10288,0.0,2025-02-10 05:15:00+00:00,202.2737,14.086818,2849.39,199.1471,203.4511,7,2025-02-10 10:30:00+00:00,202.2304,TRAILING_STOP,21,-0.61,9.1181,9.1161,22.7915,-18.84,-0.428
21,ETHUSDT,LONG,spot,STRICT_SUPPORT,2025-04-04 18:00:00+00:00,1801.2619,1798.5533,15.8189,2025-04-04 18:00:00+00:00,1814.46,2025-04-04 19:00:00+00:00,1813.21,0.898064,0.0,2025-04-04 19:15:00+00:00,1816.8464,2.048307,3721.46,1795.3896,1795.3896,0,2025-04-05 03:15:00+00:00,1806.37,TIME_EXIT_8H,32,-21.46,11.9087,11.84,14.8429,-45.21,-1.029
22,ETHUSDT,LONG,spot,STRICT_SUPPORT,2025-04-11 15:15:00+00:00,1559.25,1553.4961,12.3077,2025-04-11 15:15:00+00:00,1561.33,2025-04-11 15:30:00+00:00,1567.39,1.110022,0.0,2025-04-11 15:45:00+00:00,1570.5148,2.244544,3525.09,1551.0345,1569.8314,3,2025-04-11 18:15:00+00:00,1560.4124,TRAILING_STOP,10,-22.68,11.2803,11.2077,28.0647,-45.16,-1.033
