trade_id,symbol,direction,market_type,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
1588,SOLUSDT,LONG,spot,2024-05-30 02:15:00+00:00,168.9669,169.19,0.8744,2024-05-30 02:15:00+00:00,170.82,2024-05-30 02:15:00+00:00,170.82,2024-05-30 02:30:00+00:00,170.9054,0.177659,30.36,169.0151,169.0151,0,2024-05-30 05:00:00+00:00,168.7616,STOP_LOSS,10,-0.38,0.0243,0.024,0.0602,-0.43,-1.278
1589,BTCUSDT,LONG,spot,2024-05-30 15:15:00+00:00,68225.3364,68261.1,263.0686,2024-05-30 15:15:00+00:00,68424.0,2024-05-30 15:15:00+00:00,68424.0,2024-05-30 15:30:00+00:00,68458.222,0.000965,66.07,68208.4863,69023.0691,6,2024-05-30 19:15:00+00:00,68919.5344,TRAILING_STOP,15,0.45,0.0529,0.0532,0.1328,0.34,1.407
1590,BTCUSDT,LONG,spot,2024-05-31 00:45:00+00:00,68438.0504,68320.0,135.8873,2024-05-31 00:45:00+00:00,68460.0,2024-05-31 00:45:00+00:00,68460.0,2024-05-31 01:00:00+00:00,68494.24,0.000969,66.4,68292.8225,68494.3666,5,2024-05-31 03:30:00+00:00,68391.625,TRAILING_STOP,10,-0.1,0.0531,0.053,0.1327,-0.21,-1.053
1591,BTCUSDT,LONG,spot,2024-05-31 11:00:00+00:00,68241.2758,68280.0,153.1662,2024-05-31 11:00:00+00:00,68411.61,2024-05-31 11:00:00+00:00,68411.61,2024-05-31 11:15:00+00:00,68445.8258,0.000967,66.2,68249.3668,68647.0098,1,2024-05-31 12:45:00+00:00,68544.0392,TRAILING_STOP,6,0.09,0.053,0.053,0.1325,-0.01,-0.058
1592,ETHUSDT,LONG,spot,2024-05-31 21:30:00+00:00,3783.3023,3779.93,11.2378,2024-05-31 21:30:00+00:00,3786.02,2024-05-31 21:30:00+00:00,3786.02,2024-05-31 21:45:00+00:00,3787.913,0.017474,66.19,3777.6824,3777.6824,0,2024-05-31 22:45:00+00:00,3772.0159,STOP_LOSS,4,-0.28,0.053,0.0527,0.132,-0.38,-2.145
1593,ETHUSDT,LONG,spot,2024-06-01 08:30:00+00:00,3781.2275,3777.11,7.3426,2024-06-01 08:30:00+00:00,3788.22,2024-06-01 08:30:00+00:00,3788.22,2024-06-01 08:45:00+00:00,3790.1241,0.017364,65.81,3775.6415,3792.4051,1,2024-06-01 09:15:00+00:00,3786.7165,TRAILING_STOP,2,-0.06,0.0526,0.0526,0.1315,-0.16,-0.654
1594,ETHUSDT,LONG,spot,2024-06-01 11:00:00+00:00,3787.7599,3782.07,7.1729,2024-06-01 11:00:00+00:00,3789.41,2024-06-01 11:00:00+00:00,3789.41,2024-06-01 11:15:00+00:00,3791.3047,0.017315,65.65,3780.6354,3800.5001,7,2024-06-01 15:45:00+00:00,3794.7994,TRAILING_STOP,18,0.06,0.0525,0.0526,0.1314,-0.04,-0.241
1595,ETHUSDT,LONG,spot,2024-06-01 16:15:00+00:00,3801.3177,3794.15,7.9671,2024-06-01 16:15:00+00:00,3804.01,2024-06-01 16:15:00+00:00,3804.01,2024-06-01 16:30:00+00:00,3805.912,0.017237,65.6,3792.5566,3792.5566,0,2024-06-01 17:45:00+00:00,3786.8677,STOP_LOSS,5,-0.33,0.0525,0.0522,0.1307,-0.43,-1.881
1597,SOLUSDT,LONG,spot,2024-06-01 17:45:00+00:00,167.2484,166.85,0.3514,2024-06-01 17:45:00+00:00,167.33,2024-06-01 17:45:00+00:00,167.33,2024-06-01 18:00:00+00:00,167.4137,0.389016,65.13,166.7797,166.7797,0,2024-06-01 22:30:00+00:00,166.5296,STOP_LOSS,18,-0.34,0.0521,0.0518,0.1297,-0.45,-1.816
1596,ETHUSDT,LONG,spot,2024-06-01 17:45:00+00:00,3800.9784,3790.21,8.9974,2024-06-01 17:45:00+00:00,3807.01,2024-06-01 17:45:00+00:00,3807.01,2024-06-01 18:00:00+00:00,3808.9135,0.016055,61.15,3788.4105,3817.5958,2,2024-06-01 23:00:00+00:00,3811.8694,TRAILING_STOP,20,0.05,0.0489,0.049,0.1224,-0.05,-0.153
1598,BNBUSDT,LONG,spot,2024-06-01 23:45:00+00:00,601.3618,600.9,1.4172,2024-06-01 23:45:00+00:00,601.9,2024-06-01 23:45:00+00:00,601.9,2024-06-02 00:00:00+00:00,602.2009,0.107409,64.68,600.6166,603.3273,4,2024-06-02 02:15:00+00:00,602.4223,TRAILING_STOP,9,0.02,0.0517,0.0518,0.1294,-0.08,-0.469
1600,ETHUSDT,LONG,spot,2024-06-02 04:45:00+00:00,3813.967,3811.38,7.8406,2024-06-02 04:45:00+00:00,3821.35,2024-06-02 04:45:00+00:00,3821.35,2024-06-02 05:00:00+00:00,3823.2607,0.016884,64.55,3809.8119,3809.8119,0,2024-06-02 05:15:00+00:00,3804.0972,STOP_LOSS,1,-0.32,0.0516,0.0514,0.1286,-0.43,-1.879
1599,BNBUSDT,LONG,spot,2024-06-02 02:45:00+00:00,602.9217,601.9,1.4748,2024-06-02 02:45:00+00:00,603.6,2024-06-02 02:45:00+00:00,603.6,2024-06-02 03:00:00+00:00,603.9018,0.106976,64.6,601.605,601.605,0,2024-06-02 06:30:00+00:00,600.7026,STOP_LOSS,14,-0.34,0.0517,0.0514,0.1287,-0.45,-1.812
1601,BNBUSDT,LONG,spot,2024-06-02 11:30:00+00:00,599.1259,598.0,1.0598,2024-06-02 11:30:00+00:00,599.6,2024-06-02 11:30:00+00:00,599.6,2024-06-02 11:45:00+00:00,599.8998,0.10625,63.74,597.788,600.2143,2,2024-06-02 13:00:00+00:00,599.314,TRAILING_STOP,5,-0.06,0.051,0.0509,0.1274,-0.16,-0.732
1602,BTCUSDT,LONG,spot,2024-06-02 13:15:00+00:00,67850.1722,67915.0,182.55,2024-06-02 13:15:00+00:00,68070.0,2024-06-02 13:15:00+00:00,68070.0,2024-06-02 13:30:00+00:00,68104.035,0.000934,63.58,67878.49,68101.4994,4,2024-06-02 15:15:00+00:00,67999.3471,TRAILING_STOP,7,-0.1,0.0509,0.0508,0.127,-0.2,-0.947
1603,ETHUSDT,LONG,spot,2024-06-02 14:15:00+00:00,3793.9157,3796.41,9.1954,2024-06-02 14:15:00+00:00,3803.72,2024-06-02 14:15:00+00:00,3803.72,2024-06-02 14:30:00+00:00,3805.6119,0.016693,63.53,3794.5709,3794.5709,0,2024-06-02 15:15:00+00:00,3788.8791,STOP_LOSS,3,-0.28,0.0508,0.0506,0.1266,-0.38,-2.066
1605,BTCUSDT,LONG,spot,2024-06-02 21:30:00+00:00,67819.6041,67755.0,133.0975,2024-06-02 21:30:00+00:00,67871.81,2024-06-02 21:30:00+00:00,67871.81,2024-06-02 21:45:00+00:00,67905.7559,0.000927,62.95,67728.3805,67728.3805,0,2024-06-03 00:00:00+00:00,67626.7879,STOP_LOSS,9,-0.26,0.0504,0.0502,0.1255,-0.36,-2.184
1604,BNBUSDT,LONG,spot,2024-06-02 20:45:00+00:00,599.2542,599.3,1.1166,2024-06-02 20:45:00+00:00,600.5,2024-06-02 20:45:00+00:00,600.5,2024-06-02 21:00:00+00:00,600.7002,0.104882,63.0,599.0767,602.0751,11,2024-06-03 00:30:00+00:00,601.172,TRAILING_STOP,14,0.05,0.0504,0.0504,0.1261,-0.05,-0.302
1606,BNBUSDT,LONG,spot,2024-06-03 00:45:00+00:00,601.9791,601.2,1.3669,2024-06-03 00:45:00+00:00,604.7,2024-06-03 00:45:00+00:00,604.7,2024-06-03 01:00:00+00:00,605.1024,0.075709,45.81,600.9266,606.1795,1,2024-06-03 01:30:00+00:00,605.2702,TRAILING_STOP,2,0.01,0.0366,0.0367,0.0916,-0.06,-0.192
1607,ETHUSDT,LONG,spot,2024-06-03 04:30:00+00:00,3796.5913,3795.59,10.0418,2024-06-03 04:30:00+00:00,3806.49,2024-06-03 04:30:00+00:00,3806.49,2024-06-03 04:45:00+00:00,3808.3932,0.016421,62.54,3793.5816,3819.7094,8,2024-06-03 07:15:00+00:00,3813.9798,TRAILING_STOP,10,0.09,0.05,0.0501,0.1252,-0.01,-0.035
1608,ETHUSDT,LONG,spot,2024-06-03 07:30:00+00:00,3814.5396,3812.92,11.0961,2024-06-03 07:30:00+00:00,3818.5,2024-06-03 07:30:00+00:00,3818.5,2024-06-03 07:45:00+00:00,3820.4092,0.016367,62.53,3810.7008,3819.4923,2,2024-06-03 09:00:00+00:00,3813.763,TRAILING_STOP,5,-0.11,0.05,0.0499,0.1249,-0.21,-1.314
1609,ETHUSDT,LONG,spot,2024-06-03 09:30:00+00:00,3818.2409,3812.58,9.7012,2024-06-03 09:30:00+00:00,3820.01,2024-06-03 09:30:00+00:00,3820.01,2024-06-03 09:45:00+00:00,3821.91,0.016306,62.32,3810.6398,3810.6398,0,2024-06-03 10:45:00+00:00,3804.9238,STOP_LOSS,4,-0.28,0.0499,0.0496,0.1242,-0.38,-2.049
1610,SOLUSDT,LONG,spot,2024-06-03 10:00:00+00:00,165.1906,165.16,0.6062,2024-06-03 10:00:00+00:00,165.53,2024-06-03 10:00:00+00:00,165.53,2024-06-03 10:15:00+00:00,165.6128,0.37601,62.27,165.0388,165.0388,0,2024-06-03 10:45:00+00:00,164.7912,STOP_LOSS,2,-0.31,0.0498,0.0496,0.1241,-0.41,-1.892
1612,ETHUSDT,LONG,spot,2024-06-03 12:15:00+00:00,3815.2663,3812.63,8.0,2024-06-03 12:15:00+00:00,3819.46,2024-06-03 12:15:00+00:00,3819.46,2024-06-03 12:30:00+00:00,3821.3697,0.016093,61.5,3811.03,3823.5532,4,2024-06-03 13:45:00+00:00,3817.8179,TRAILING_STOP,5,-0.06,0.0492,0.0492,0.1229,-0.16,-0.935
1611,BTCUSDT,LONG,spot,2024-06-03 11:00:00+00:00,68981.7619,68824.0,162.6836,2024-06-03 11:00:00+00:00,69071.94,2024-06-03 11:00:00+00:00,69071.94,2024-06-03 11:15:00+00:00,69106.466,0.000891,61.54,68791.4633,69756.1493,5,2024-06-03 14:00:00+00:00,69651.5151,TRAILING_STOP,11,0.49,0.0492,0.0496,0.1238,0.39,1.378
1613,ETHUSDT,LONG,spot,2024-06-03 14:00:00+00:00,3824.2413,3817.99,13.2454,2024-06-03 14:00:00+00:00,3831.61,2024-06-03 14:00:00+00:00,3831.61,2024-06-03 14:15:00+00:00,3833.5358,0.016114,61.77,3815.3409,3815.3409,0,2024-06-03 14:30:00+00:00,3803.0968,STOP_LOSS,1,-0.49,0.0494,0.049,0.1228,-0.59,-2.009
1614,BTCUSDT,LONG,spot,2024-06-03 15:45:00+00:00,69361.203,69144.0,402.5514,2024-06-03 15:45:00+00:00,69615.28,2024-06-03 15:45:00+00:00,69615.28,2024-06-03 16:00:00+00:00,69650.0776,0.000527,36.69,69063.4897,69063.4897,0,2024-06-03 16:30:00+00:00,68959.8945,STOP_LOSS,2,-0.36,0.0294,0.0291,0.0728,-0.42,-1.366
1615,BTCUSDT,LONG,spot,2024-06-03 17:30:00+00:00,69279.6175,69162.32,315.5806,2024-06-03 17:30:00+00:00,69339.07,2024-06-03 17:30:00+00:00,69339.07,2024-06-03 17:45:00+00:00,69373.7395,0.000876,60.77,69099.2039,69099.2039,0,2024-06-03 19:15:00+00:00,68995.5551,STOP_LOSS,6,-0.33,0.0486,0.0484,0.121,-0.43,-1.781
1617,BTCUSDT,LONG,spot,2024-06-03 20:00:00+00:00,69250.0382,69160.01,220.8704,2024-06-03 20:00:00+00:00,69437.02,2024-06-03 20:00:00+00:00,69437.02,2024-06-03 20:15:00+00:00,69471.7385,0.000856,59.47,69115.8359,69115.8359,0,2024-06-03 20:45:00+00:00,69012.1622,STOP_LOSS,2,-0.39,0.0476,0.0473,0.1184,-0.49,-1.603
