trade_id,symbol,direction,market_type,pullback_mode,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,low_distance_to_u,high_distance_to_l,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
23,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-04-22 17:05:00+00:00,153.6948,153.604,0.5711,2024-04-22 17:05:00+00:00,154.14,2024-04-22 17:15:00+00:00,153.9,0.0552,0.0,2024-04-22 17:20:00+00:00,153.9769,60.671783,9342.06,153.4898,154.6665,5,2024-04-22 18:00:00+00:00,154.4345,TRAILING_STOP,8,27.76,7.4736,7.4959,18.7258,12.79,0.433
24,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-04-23 05:20:00+00:00,603.17,602.748,2.1718,2024-04-23 05:20:00+00:00,603.8,2024-04-23 05:45:00+00:00,603.9,0.03,0.0,2024-04-23 05:50:00+00:00,604.2019,15.482767,9354.72,602.3136,602.3136,0,2024-04-23 06:00:00+00:00,601.4102,STOP_LOSS,2,-43.22,7.4838,7.4492,18.6446,-58.16,-1.989
25,ETHUSDT,LONG,spot,STRICT_SUPPORT,2024-04-24 10:15:00+00:00,3253.5958,3249.4576,8.9181,2024-04-24 10:15:00+00:00,3262.16,2024-04-24 10:40:00+00:00,3257.6,0.7542,0.0,2024-04-24 10:45:00+00:00,3259.2188,2.852568,9297.14,3247.674,3274.2818,9,2024-04-24 11:50:00+00:00,3269.3704,TRAILING_STOP,13,28.96,7.4377,7.4609,18.6377,14.06,0.427
26,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-04-25 06:10:00+00:00,606.615,606.394,1.1681,2024-04-25 06:10:00+00:00,607.7,2024-04-25 06:15:00+00:00,607.5,0.085,0.0,2024-04-25 06:20:00+00:00,607.8037,15.31919,9311.06,606.1604,606.1604,0,2024-04-25 06:40:00+00:00,605.2511,STOP_LOSS,4,-39.1,7.4488,7.4176,18.5635,-53.97,-2.144
27,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-05-07 07:45:00+00:00,154.8042,154.6025,0.6249,2024-05-07 07:45:00+00:00,155.19,2024-05-07 07:50:00+00:00,155.24,0.0258,0.0,2024-05-07 07:55:00+00:00,155.3176,55.654692,8644.15,154.4775,157.7678,9,2024-05-07 09:30:00+00:00,157.5311,TRAILING_STOP,19,123.19,6.9153,7.0139,17.4731,109.26,2.337
28,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-05-25 09:50:00+00:00,169.1175,169.0254,0.4803,2024-05-25 09:50:00+00:00,169.41,2024-05-25 10:20:00+00:00,169.42,0.0425,0.0,2024-05-25 10:25:00+00:00,169.5047,55.25393,9365.8,168.9293,169.7692,6,2024-05-25 11:20:00+00:00,169.5146,TRAILING_STOP,11,0.54,7.4926,7.4931,18.7324,-14.44,-0.454
29,ETHUSDT,LONG,spot,STRICT_SUPPORT,2024-06-05 16:05:00+00:00,3806.7275,3803.8532,6.4634,2024-06-05 16:05:00+00:00,3816.49,2024-06-05 16:35:00+00:00,3810.85,0.2725,0.0,2024-06-05 16:40:00+00:00,3812.7554,2.452689,9351.5,3802.5605,3802.5605,0,2024-06-05 16:45:00+00:00,3796.8567,STOP_LOSS,1,-38.99,7.4812,7.45,18.6445,-53.93,-2.157
30,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-06-14 08:15:00+00:00,147.779,147.6175,0.3909,2024-06-14 08:15:00+00:00,147.86,2024-06-14 08:20:00+00:00,148.12,0.011,0.0,2024-06-14 08:25:00+00:00,148.2041,62.738615,9298.12,147.5393,147.5393,0,2024-06-14 10:05:00+00:00,147.318,STOP_LOSS,20,-55.59,7.4385,7.394,18.5129,-70.42,-1.689
31,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-06-16 22:00:00+00:00,609.19,609.158,0.5565,2024-06-16 22:00:00+00:00,609.3,2024-06-16 22:35:00+00:00,610.5,0.01,0.0,2024-06-16 22:40:00+00:00,610.8053,15.108579,9228.4,609.0467,611.0437,1,2024-06-17 00:55:00+00:00,610.1271,TRAILING_STOP,27,-10.25,7.3827,7.3745,18.4414,-25.0,-0.941
32,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-06-24 20:55:00+00:00,128.0098,127.6165,0.9114,2024-06-24 20:55:00+00:00,128.28,2024-06-24 21:00:00+00:00,129.07,0.0502,0.0,2024-06-24 21:05:00+00:00,129.1245,27.499699,3550.89,127.4342,130.4028,10,2024-06-24 22:45:00+00:00,130.2072,TRAILING_STOP,20,29.77,2.8407,2.8645,7.1464,24.07,0.518
33,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-06-26 01:10:00+00:00,577.406,577.193,1.0715,2024-06-26 01:10:00+00:00,577.5,2024-06-26 01:15:00+00:00,578.4,0.094,0.0,2024-06-26 01:20:00+00:00,578.6892,15.945474,9227.47,576.9787,582.4591,12,2024-06-26 02:50:00+00:00,581.5854,TRAILING_STOP,18,46.18,7.382,7.4189,18.5242,31.38,1.151
34,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-07-05 22:55:00+00:00,496.315,495.896,1.0986,2024-07-05 22:55:00+00:00,496.5,2024-07-05 23:05:00+00:00,497.9,0.085,0.0,2024-07-05 23:10:00+00:00,498.1489,18.585887,9258.54,495.6763,503.3839,5,2024-07-06 00:45:00+00:00,502.6288,TRAILING_STOP,19,83.26,7.4068,7.4734,18.642,68.38,1.488
35,BTCUSDT,LONG,spot,STRICT_SUPPORT,2024-07-09 15:50:00+00:00,57408.2816,57336.199,181.8926,2024-07-09 15:50:00+00:00,57418.01,2024-07-09 15:55:00+00:00,57477.01,7.9484,0.0,2024-07-09 16:00:00+00:00,57505.7385,0.162179,9326.24,57299.8205,57552.8724,2,2024-07-09 16:35:00+00:00,57466.5431,TRAILING_STOP,7,-6.36,7.461,7.4559,18.6429,-21.27,-0.637
36,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-07-18 11:30:00+00:00,159.0108,158.8695,0.3453,2024-07-18 11:30:00+00:00,159.08,2024-07-18 11:35:00+00:00,159.37,0.0092,0.0,2024-07-18 11:40:00+00:00,159.4497,58.358083,9305.18,158.8004,160.7787,9,2024-07-18 13:30:00+00:00,160.5375,TRAILING_STOP,22,63.48,7.4441,7.4949,18.7056,48.54,1.281
