trade_id,symbol,direction,market_type,pullback_mode,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,low_distance_to_u,high_distance_to_l,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
166,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-10-26 15:35:00+00:00,168.4074,168.2696,0.6318,2024-10-26 15:35:00+00:00,168.5,2024-10-26 15:55:00+00:00,168.63,0.042551,0.0,2024-10-26 16:00:00+00:00,168.7143,34.842193,5878.38,168.1432,168.9029,6,2024-10-26 17:05:00+00:00,168.6495,TRAILING_STOP,13,-2.26,4.7027,4.7009,11.7534,-11.66,-0.586
167,ETHUSDT,LONG,spot,STRICT_SUPPORT,2024-10-28 20:35:00+00:00,2511.1303,2509.6193,4.6503,2024-10-28 20:35:00+00:00,2515.01,2024-10-28 20:50:00+00:00,2513.94,0.239689,0.0,2024-10-28 20:55:00+00:00,2515.197,2.332554,5866.83,2508.6892,2535.6533,5,2024-10-28 21:45:00+00:00,2531.8498,TRAILING_STOP,10,38.84,4.6935,4.7245,11.7919,29.43,1.938
168,ETHUSDT,LONG,spot,STRICT_SUPPORT,2024-11-04 10:30:00+00:00,2464.5713,2463.2637,4.755,2024-11-04 10:30:00+00:00,2468.6,2024-11-04 10:35:00+00:00,2470.83,0.428717,0.0,2024-11-04 10:40:00+00:00,2472.0554,2.385045,5895.96,2462.3127,2476.5863,2,2024-11-04 13:25:00+00:00,2472.8714,TRAILING_STOP,33,1.95,4.7168,4.7183,11.7948,-7.49,-0.322
169,BTCUSDT,LONG,spot,STRICT_SUPPORT,2024-11-06 00:10:00+00:00,69517.9424,69507.7711,194.7952,2024-11-06 00:10:00+00:00,69725.99,2024-11-06 00:15:00+00:00,69849.99,7.057636,0.0,2024-11-06 00:20:00+00:00,69884.915,0.071473,4994.89,69468.8121,70840.7222,8,2024-11-06 01:15:00+00:00,70734.4611,TRAILING_STOP,11,60.72,3.9959,4.0445,10.0809,52.68,1.771
170,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-11-06 15:15:00+00:00,582.0054,581.337,1.5745,2024-11-06 15:15:00+00:00,583.6,2024-11-06 15:30:00+00:00,582.39,0.094622,0.0,2024-11-06 15:35:00+00:00,582.6912,10.195284,5940.7,581.0221,582.3474,3,2024-11-06 17:20:00+00:00,581.4739,TRAILING_STOP,21,-12.41,4.7526,4.7426,11.8628,-21.91,-1.287
171,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-11-07 15:00:00+00:00,187.5862,187.322,0.6921,2024-11-07 15:00:00+00:00,187.68,2024-11-07 15:05:00+00:00,188.93,0.053811,0.0,2024-11-07 15:10:00+00:00,189.0245,16.239104,3069.59,187.1836,191.0251,5,2024-11-07 16:05:00+00:00,190.7386,TRAILING_STOP,11,27.84,2.4557,2.4779,6.1809,22.9,0.766
172,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-11-09 00:45:00+00:00,199.3828,199.1872,0.5046,2024-11-09 00:45:00+00:00,199.84,2024-11-09 00:50:00+00:00,199.84,0.017182,0.0,2024-11-09 00:55:00+00:00,199.9299,29.718858,5941.69,199.0862,199.0862,0,2024-11-09 01:20:00+00:00,198.7876,STOP_LOSS,5,-33.95,4.7534,4.7262,11.8325,-43.43,-1.732
173,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-11-10 22:55:00+00:00,208.8285,208.3939,1.7492,2024-11-10 22:55:00+00:00,210.53,2024-11-10 23:30:00+00:00,209.76,0.001528,0.0,2024-11-10 23:35:00+00:00,209.8649,16.361965,3433.8,208.0441,210.4724,2,2024-11-11 01:55:00+00:00,210.1567,TRAILING_STOP,28,4.77,2.747,2.7509,6.8748,-0.72,-0.024
174,ETHUSDT,LONG,spot,STRICT_SUPPORT,2024-11-10 23:30:00+00:00,3181.4023,3175.5877,15.4406,2024-11-10 23:30:00+00:00,3186.5,2024-11-10 23:35:00+00:00,3182.27,0.097719,0.0,2024-11-10 23:40:00+00:00,3183.8611,1.851832,5895.98,3172.4996,3200.1783,16,2024-11-11 01:55:00+00:00,3195.378,TRAILING_STOP,27,21.33,4.7168,4.7338,11.8239,11.88,0.564
175,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-11-12 03:55:00+00:00,218.9812,218.7852,0.9953,2024-11-12 03:55:00+00:00,220.64,2024-11-12 04:10:00+00:00,219.86,0.038779,0.0,2024-11-12 04:15:00+00:00,219.9699,21.569226,4744.58,218.5861,219.4194,1,2024-11-12 04:45:00+00:00,219.0903,TRAILING_STOP,6,-18.97,3.7957,3.7805,9.4607,-26.55,-0.889
