symbol,mode,leverage,entry_time,exit_time,entry_price,exit_price,margin,notional,coins,realized_pnl,pnl_on_margin,fees_paid,exit_reason,tp1_hit,tp2_hit,equity_before,equity_after
KORUUSDT,MAKER,3.0,2026-07-15 10:49:00,2026-07-16 10:50:00,23.299553136213138,20.45635923790714,14856.855301418811,44570.56590425644,1912.9365118588048,5422.108961885686,36.49567052973775,16.740456478029834,TIME_EXIT,True,False,74284.27650709405,83824.81470787423
SOXSUSDT,MAKER,3.0,2026-07-17 17:15:00,2026-07-18 14:00:00,51.890978919940316,55.02,16764.962941574846,50294.888824724534,969.241472632877,-3053.501510466163,-18.213589383450955,20.724510929797088,FINAL_BAR,False,False,83824.81470787423,80771.31319740808
ONEUSDT,MAKER,3.0,2026-07-21 20:15:00,2026-07-22 20:16:00,0.0015093784508465715,0.0013328042120166702,16154.262639481616,48462.78791844485,32107777.801692687,5651.155191971283,34.98243973178726,18.251233882207238,TIME_EXIT,True,False,80771.31319740808,86422.46838937936
NILUSDT,MAKER,3.0,2026-07-27 15:53:00,2026-07-28 15:54:00,0.04134538856550638,0.03656029739813451,17284.49367787587,51853.48103362761,1254153.9173461273,5981.699688170817,34.607317979047224,19.541144246967487,TIME_EXIT,True,False,86422.46838937936,92404.16807755017
SKHYNIXUSDT,MAKER,3.0,2026-07-31 13:52:00,2026-08-01 07:20:00,1146.8774075916867,1088.96,18480.833615510037,55442.50084653011,48.34213358771545,2778.2340247238417,15.03305577293986,21.617030127641748,FINAL_BAR,False,False,92404.16807755017,95182.40210227402
UAIUSDT,MAKER,3.0,2026-08-02 13:22:00,2026-08-03 09:59:00,0.5239309401624425,0.4186425281999021,19036.480420454805,57109.441261364416,109001.8490674704,11456.08313910778,60.1796281984886,20.548450186686875,TIME_EXIT,True,True,95182.40210227402,106638.4852413818
PTBUSDT,MAKER,3.0,2026-08-04 02:11:00,2026-08-04 13:59:00,0.000884022975056311,0.000800872237142738,21327.69704827636,63983.091144829086,72377181.30657572,5993.826440495053,28.10348640515529,24.389593251182387,TIME_EXIT,True,False,106638.4852413818,112632.31168187686
龙虾USDT,MAKER,3.0,2026-08-11 06:22:00,2026-08-12 02:39:00,0.025783266378826695,0.02051220882297842,22526.462336375374,67579.38700912612,2621056.076301587,13791.468827974924,61.223411923427854,24.268607316592142,TIME_EXIT,True,True,112632.31168187686,126423.78050985179
ONEUSDT,MAKER,3.0,2026-08-13 11:35:00,2026-08-13 17:19:00,0.0007829094398451028,0.000755,25284.756101970357,75854.26830591107,96887665.98716539,2674.279594375954,10.576647777779261,29.800891225244193,FINAL_BAR,False,False,126423.78050985179,129098.06010422774
GASUSDT,MAKER,3.0,2026-08-27 05:20:00,2026-08-28 05:21:00,1.31506508919054,1.29,25819.61202084555,77458.83606253665,58901.14238392167,1445.674125330131,5.599131869847467,30.688261947559127,FINAL_BAR,False,False,129098.06010422774,130543.73422955787
VVVUSDT,MAKER,3.0,2026-09-09 13:48:00,2026-09-10 06:00:00,25.422351739811823,23.529390798040726,26108.746845911577,78326.24053773473,3080.999009823098,5802.046733172904,22.22261668633651,30.164054057647785,TIME_EXIT,True,False,130543.73422955787,136345.7809627308
ARKUSDT,MAKER,3.0,2026-09-14 10:39:00,2026-09-15 06:40:00,0.16458967801108662,0.1524,27269.156192546157,81807.46857763847,497038.8761081846,6027.232620091835,22.10274706534315,31.511238659305164,FINAL_BAR,False,False,136345.7809627308,142373.01358282263
BRUSDT,MAKER,3.0,2026-09-20 19:05:00,2026-09-20 22:39:00,1.115575210452895,1.15903,28474.60271656453,85423.80814969359,76573.777679242,-3362.332416616914,-11.808180258335772,34.835022738653095,FINAL_BAR,False,False,142373.01358282263,139010.68116620573
BTWUSDT,MAKER,3.0,2026-09-21 20:48:00,2026-09-21 21:06:00,0.7612511926136851,0.8754388715057378,27802.136233241148,83406.40869972344,109564.89724942867,-12546.826060699392,-45.128999999999984,35.86475574088108,STOP_LOSS,False,False,139010.68116620573,126463.85510550634
ONEUSDT,MAKER,3.0,2026-09-22 06:05:00,2026-09-22 14:01:00,0.003911412221917329,0.003774512794150222,25292.77102110127,75878.31306330381,19399211.52726499,2625.920780181754,10.382099999999996,29.820177033878394,BREAK_EVEN,True,False,126463.85510550634,129089.7758856881
PTBUSDT,MAKER,3.0,2026-09-22 07:01:00,2026-09-22 14:11:00,0.000972406796495332,0.0009937,25292.77102110127,75878.31306330381,78031450.76399933,-1692.223194019809,-6.69054091624844,30.68363313749799,FINAL_BAR,False,False,126463.85510550634,127397.55269166829
COTIUSDT,MAKER,3.0,2026-09-22 01:55:00,2026-09-22 14:54:00,0.014457744093328907,0.015346,25292.77102110127,75878.31306330381,5248281.652620728,-4693.100866474773,-18.55510755448428,31.2836886608843,FINAL_BAR,False,False,126463.85510550634,122704.45182519351
