symbol,mode,leverage,entry_time,exit_time,entry_price,exit_price,margin,notional,coins,realized_pnl,pnl_on_margin,fees_paid,exit_reason,tp1_hit,tp2_hit,equity_before,equity_after
KORUUSDT,TAKER,5.0,2026-06-25 14:04:00,2026-06-25 22:00:00,792.99084,816.18912,16320.27694950578,81601.38474752891,102.90331316756307,-2469.974846472234,-15.1343929647409,82.7949746834233,FINAL_BAR,False,False,81601.3847475289,79131.40990105666
SKHYNIXUSDT,TAKER,5.0,2026-06-25 14:11:00,2026-06-26 14:00:00,1852.5774199999998,1767.9789,16320.27694950578,81601.38474752891,44.0474896576948,3646.614226226126,22.344070737945135,79.73820853015077,FINAL_BAR,False,False,81601.3847475289,82778.02412728278
SKHYUSDT,TAKER,5.0,2026-07-15 09:45:00,2026-07-16 09:46:00,181.20686,164.8411852218,16555.604825456558,82778.02412728278,456.8150682997475,7397.046860868397,44.68001585477809,79.03998070649534,TIME_EXIT,True,False,82778.02412728278,90175.07098815119
KORUUSDT,TAKER,5.0,2026-07-15 10:39:00,2026-07-16 10:40:00,23.263379999999998,20.466315629399997,16555.604825456558,82778.02412728278,3558.2973810032245,9874.985193688333,59.6473840599539,77.80163071508109,TIME_EXIT,True,False,82778.02412728278,100050.05618183952
SOXSUSDT,TAKER,5.0,2026-07-17 17:15:00,2026-07-18 14:00:00,51.67644,55.13004,20010.011236367907,100050.05618183954,1936.0864676792662,-6789.861515071345,-33.93232235037864,103.3932902942281,FINAL_BAR,False,False,100050.05618183952,93260.19466676818
ONEUSDT,TAKER,5.0,2026-07-21 20:18:00,2026-07-22 20:19:00,0.0015089760000000002,0.00133599409488,18652.038933353637,93260.19466676819,61803630.188133,10602.994953455076,56.84630506799322,87.91473982013059,TIME_EXIT,True,False,93260.19466676818,103863.18962022325
NILUSDT,TAKER,5.0,2026-07-27 15:44:00,2026-07-28 15:45:00,0.040898040000000004,0.0366159683652,20772.63792404465,103863.18962022326,2539563.989380011,10776.1690315253,51.87674801307598,98.42589215838143,TIME_EXIT,True,False,103863.18962022325,114639.35865174854
SKHYNIXUSDT,TAKER,5.0,2026-07-31 13:50:00,2026-08-01 07:20:00,1137.46052,1091.1379200000001,22927.87173034971,114639.35865174855,100.78535178675787,4556.334497793857,19.87247029022157,112.3050388834099,FINAL_BAR,False,False,114639.35865174854,119195.69314954239
UAIUSDT,TAKER,5.0,2026-08-02 13:23:00,2026-08-03 09:59:00,0.5210558,0.417708065634,23839.13862990848,119195.6931495424,228758.02006146446,23534.24820980049,98.72105102100679,107.37488160384024,TIME_EXIT,True,True,119195.69314954239,142729.9413593429
PTBUSDT,TAKER,5.0,2026-08-04 02:13:00,2026-08-04 13:59:00,0.000885226,0.00080285369238,28545.98827186858,142729.9413593429,161235595.6098701,13145.258813551243,46.04940872376661,136.08926731890782,TIME_EXIT,True,False,142729.9413593429,155875.20017289414
龙虾USDT,TAKER,5.0,2026-08-11 06:22:00,2026-08-12 02:39:00,0.025502892,0.020380458137159996,31175.04003457883,155875.20017289414,6112059.768472303,31168.401040516503,99.97870413620973,140.22088920803188,TIME_EXIT,True,True,155875.20017289414,187043.60121341064
ONEUSDT,TAKER,5.0,2026-08-13 11:30:00,2026-08-13 17:19:00,0.000780436,0.0007565100000000001,37408.72024268213,187043.60121341067,239665521.85369545,5550.060793296034,14.83627549216077,184.17648257547492,FINAL_BAR,False,False,187043.60121341064,192593.66200670667
GASUSDT,TAKER,5.0,2026-08-27 05:22:00,2026-08-28 05:23:00,1.315364,1.2875699999999999,38518.73240134134,192593.6620067067,146418.5290206412,3878.997711890809,10.070418910658988,190.55888370890682,FINAL_BAR,False,False,192593.66200670667,196472.65971859748
VVVUSDT,TAKER,5.0,2026-09-09 13:49:00,2026-09-10 06:00:00,25.227444,23.514930849720002,39294.5319437195,196472.65971859748,7788.052555724531,13147.338328239777,33.45844237837049,189.8040885102225,TIME_EXIT,True,False,196472.65971859748,209619.99804683725
ARKUSDT,TAKER,5.0,2026-09-14 10:43:00,2026-09-15 06:40:00,0.167165,0.15202040895000002,41923.999609367456,209619.99804683728,1253970.6161387686,18790.747608176418,44.820980305461674,200.12456196176817,TIME_EXIT,True,False,209619.99804683725,228410.74565501366
BRUSDT,TAKER,5.0,2026-09-20 19:07:00,2026-09-20 22:39:00,1.1040075599999999,1.16134806,45682.149131002734,228410.74565501366,206892.37459117913,-12097.654607003147,-26.482236140665567,234.34240175763642,FINAL_BAR,False,False,228410.74565501366,216313.0910480105
BTWUSDT,TAKER,5.0,2026-09-21 20:51:00,2026-09-22 02:37:00,0.8021923999999999,0.7756638973319998,43262.61820960211,216313.09104801054,269652.38145862584,6940.737566870175,16.043267499999995,212.7363540875317,BREAK_EVEN,True,False,216313.0910480105,223253.82861488068
ONEUSDT,TAKER,5.0,2026-09-22 06:07:00,2026-09-22 14:02:00,0.003914156,0.0037847148610800005,44650.76572297614,223253.82861488068,57037539.795266375,7163.441785735361,16.043267499999978,219.56232655873362,BREAK_EVEN,True,False,223253.82861488068,230417.27040061605
PTBUSDT,TAKER,5.0,2026-09-22 07:03:00,2026-09-22 14:11:00,0.0009672616000000001,0.0009956874,44650.76572297614,223253.82861488068,230810184.76788563,-6787.498460864919,-15.201303608041478,226.53431068996815,FINAL_BAR,False,False,223253.82861488068,223629.77193975114
COTIUSDT,TAKER,5.0,2026-09-22 01:46:00,2026-09-22 14:54:00,0.014474991999999999,0.015376692,43262.61820960211,216313.09104801054,14943917.830697976,-13697.981264342372,-31.662395461082184,223.05055640198074,FINAL_BAR,False,False,216313.0910480105,209931.79067540876
