symbol,mode,entry_time,exit_time,entry_price,exit_price,notional,margin,realized_pnl,fees_paid,exit_reason,pnl_pct
PTBUSDT,MAKER,2026-09-22 07:01:00,2026-09-22 14:11:00,0.000972406796495332,0.0009937,7705.353292240098,1541.0706584480197,-170.30220092782534,3.115886793854523,FINAL_BAR,-11.050901527080734
SKHYNIXUSDT,MAKER,2026-06-25 14:06:00,2026-06-26 14:00:00,1839.5798630391942,1764.45,7620.202191776187,1524.0404383552373,309.753148148869,2.985837887590854,FINAL_BAR,20.324470424364744
SKHYNIXUSDT,MAKER,2026-07-31 13:52:00,2026-08-01 07:20:00,1146.8774075916867,1088.96,7775.0787658506215,1555.0157531701243,391.1656581732795,3.031503077240779,FINAL_BAR,25.155092954899764
SOXSUSDT,MAKER,2026-07-17 17:15:00,2026-07-18 14:00:00,51.890978919940316,55.02,7970.66159493726,1594.132318987452,-482.3203923631111,3.2843906647783685,FINAL_BAR,-30.2559823057516
TRBUSDT,MAKER,2024-01-01 02:48:00,2024-01-01 04:48:00,157.96376746921547,157.96376746921547,7729.501398755705,1545.900279751141,269.0407551864897,3.0376940497109923,BREAK_EVEN,17.403499999999994
UAIUSDT,MAKER,2026-08-02 13:22:00,2026-08-03 09:59:00,0.5239309401624425,0.3857,7864.02177634895,1572.80435526979,1579.0858265069287,2.8295401980696346,TIME_EXIT,100.39938033081432
龙虾USDT,MAKER,2026-08-11 06:22:00,2026-08-12 02:39:00,0.025783266378826695,0.018622,8653.564689602414,1730.7129379204828,1767.7332315964495,3.107603851338992,TIME_EXIT,102.13901987237976
LOOMUSDT,MAKER,2023-10-16 20:15:00,2023-10-16 23:12:00,0.2791794276399497,0.3210563417859421,9537.431305400638,1907.4862610801276,-1432.808305010337,4.1010954613222745,STOP_LOSS,-75.11499999999997
GASUSDT,MAKER,2023-11-10 11:30:00,2023-11-10 13:12:00,25.483672329745065,25.483672329745065,8821.027152895469,1764.205430579094,307.0334921108325,3.4666636710879195,BREAK_EVEN,17.403499999999998
BIGTIMEUSDT,MAKER,2023-12-05 22:00:00,2023-12-06 22:01:00,0.7826209317382685,0.6997,8974.543898950886,1794.9087797901773,1447.7780389309487,3.2999609413618503,TIME_EXIT,80.66025723603582
AUCTIONUSDT,MAKER,2023-12-28 04:00:00,2023-12-29 04:01:00,40.50959992732157,31.2,9698.432918416362,1939.6865836832721,1864.9265862470484,3.5060745725193683,TIME_EXIT,96.14576921523775
BAKEUSDT,MAKER,2023-12-28 07:00:00,2023-12-29 07:01:00,0.6833907855333841,0.6575,10630.896211539884,2126.179242307977,631.8757549501854,4.125583452783822,TIME_EXIT,29.718837545619227
TRBUSDT,MAKER,2024-01-01 02:48:00,2024-01-01 04:48:00,157.96376746921547,157.96376746921547,10946.834089014978,2189.3668178029957,381.0264541363441,4.302105796982886,BREAK_EVEN,17.403499999999987
LEVERUSDT,MAKER,2025-04-26 08:15:00,2025-04-26 09:20:00,0.0008676126519086243,0.0008619,11137.347316083149,2227.4694632166297,71.11921701020441,4.440272522419379,FINAL_BAR,3.1928256788536635
LEVERUSDT,MAKER,2025-06-30 12:43:00,2025-07-01 05:46:00,0.000359518998353824,0.000359518998353824,11172.906924588251,2234.58138491765,388.8953713241434,4.390952421363183,BREAK_EVEN,17.403500000000008
KORUUSDT,MAKER,2026-06-23 06:04:00,2026-06-23 14:20:00,820.6855496365106,820.6855496365106,11367.354610250322,2273.4709220500645,395.663511918983,4.467370361828376,BREAK_EVEN,17.4035
ONEUSDT,MAKER,2026-07-21 20:15:00,2026-07-22 20:16:00,0.0015093784508465715,0.001319,11565.186366209815,2313.037273241963,1350.9078207493176,4.355484492890133,TIME_EXIT,58.40406621964546
NILUSDT,MAKER,2026-07-27 15:53:00,2026-07-28 13:19:00,0.04134538856550638,0.03767,12240.640276584472,2448.1280553168945,1133.4851626907785,4.66911488073055,TIME_EXIT,46.30007651066504
ONEUSDT,MAKER,2026-08-13 11:35:00,2026-08-13 17:19:00,0.0007829094398451028,0.000755,12807.38285792986,2561.476571585972,454.0920680498929,5.031640696736936,FINAL_BAR,17.72774629629877
ARKUSDT,MAKER,2026-09-14 10:39:00,2026-09-15 10:40:00,0.16458967801108662,0.1456,13034.428891954809,2606.8857783909616,1431.3929776855648,4.9270289326139665,TIME_EXIT,54.908158598688516
