date,open,high,low,close,volume,quote_volume,trades
2026-08-08,355.26000000,357.90000000,354.85000000,357.90000000,1116.77100000,397407.50886000,3024
2026-08-09,357.46000000,359.44000000,355.98000000,356.95000000,971.08900000,347256.39011000,2337
2026-08-10,357.01000000,358.31000000,353.25000000,356.40000000,3823.71300000,1361214.36010000,7407
2026-08-11,356.88000000,358.31000000,343.95000000,345.61000000,6437.23500000,2257909.71816000,22983
2026-08-12,345.77000000,347.46000000,341.53000000,343.76000000,10875.17900000,3748938.97444000,11812
2026-08-13,343.91000000,348.35000000,343.28000000,346.87000000,7800.77400000,2698188.09336000,6651
2026-08-14,346.67000000,350.81000000,344.69000000,347.75000000,6333.88200000,2198506.28955000,9171
2026-08-15,347.72000000,348.95000000,346.73000000,348.08000000,658.12900000,229005.01912000,2614
2026-08-16,347.93000000,349.97000000,347.88000000,348.87000000,555.90000000,193646.57904000,2059
2026-08-17,348.94000000,349.63000000,342.50000000,344.23000000,7183.84000000,2483761.94464000,21983
2026-08-18,344.23000000,345.03000000,340.39000000,344.25000000,5939.29200000,2037871.21380000,19680
2026-08-19,344.29000000,346.96000000,341.11000000,345.00000000,9342.07300000,3211947.50674000,26883
2026-08-20,345.04000000,346.26000000,339.00000000,341.03000000,9919.86700000,3399920.25935000,13584
2026-08-21,341.04000000,346.31000000,340.74000000,345.06000000,4914.80300000,1689164.50466000,6483
2026-08-22,345.06000000,345.15000000,342.56000000,344.50000000,1290.78900000,443611.07646000,3497
2026-08-23,344.49000000,348.17000000,342.27000000,347.77000000,1056.92400000,364227.12712000,1848
2026-08-24,347.57000000,351.52000000,342.05000000,347.61000000,6414.61700000,2224337.31000000,14628
2026-08-25,347.80000000,350.77000000,345.60000000,346.45000000,4654.21600000,1617982.60850000,7349
2026-08-26,346.48000000,347.82000000,340.25000000,342.96000000,4762.74000000,1645990.00149000,10705
2026-08-27,342.97000000,343.13000000,338.86000000,340.81000000,19101.65700000,6521219.50111000,20420
2026-08-28,340.80000000,348.93000000,340.40000000,345.94000000,11595.66100000,3970587.41331000,6462
2026-08-29,346.17000000,346.64000000,345.55000000,345.71000000,505.59600000,174987.18585000,2091
2026-08-30,345.70000000,347.00000000,343.96000000,344.23000000,376.12400000,130113.45352000,2000
2026-08-31,344.31000000,345.83000000,337.42000000,339.76000000,4783.91500000,1632777.48692000,9954
2026-09-01,339.55000000,340.10000000,333.33000000,337.02000000,5243.24100000,1771650.54462000,7263
2026-09-02,336.94000000,339.68000000,333.27000000,338.35000000,1864.23200000,627886.37584000,3511
2026-09-03,338.42000000,344.67000000,336.40000000,342.84000000,7407.60100000,2534586.26572000,22313
2026-09-04,342.85000000,343.97000000,337.20000000,338.73000000,2462.10100000,839227.69371000,7620
2026-09-05,338.73000000,340.19000000,338.42000000,339.50000000,1330.52600000,451567.50872000,4054
2026-09-06,339.48000000,339.79000000,337.85000000,338.23000000,1180.58200000,400386.83018000,4365
2026-09-07,338.24000000,339.38000000,337.72000000,339.21000000,817.14700000,276634.59945000,3849
2026-09-08,339.16000000,339.68000000,333.44000000,338.60000000,2795.74500000,942646.65669000,6403
2026-09-09,338.62000000,339.75000000,328.21000000,330.99000000,9973.06300000,3315951.23093000,16433
2026-09-10,330.98000000,333.33000000,328.00000000,331.50000000,3630.90300000,1200366.37781000,7988
2026-09-11,331.46000000,342.93000000,331.14000000,338.29000000,4603.27300000,1555621.71777000,14946
2026-09-12,338.32000000,341.66000000,338.01000000,340.87000000,613.42500000,208458.32390000,4316
2026-09-13,340.87000000,341.91000000,336.20000000,337.52000000,990.22400000,335156.69499000,7820
2026-09-14,337.40000000,349.75000000,334.56000000,347.18000000,5200.10200000,1790808.42365000,20314
2026-09-15,347.28000000,348.20000000,342.88000000,344.50000000,22660.57600000,7833791.96094000,47270
2026-09-16,344.51000000,348.39000000,340.92000000,345.44000000,8963.93200000,3094368.24886000,23553
2026-09-17,345.42000000,349.10000000,344.21000000,346.82000000,16200.33600000,5620056.11817000,49079
2026-09-18,346.85000000,359.50000000,346.60000000,350.70000000,18380.51300000,6508869.37545000,30828
2026-09-19,350.69000000,351.15000000,349.98000000,350.13000000,806.48800000,282529.31024000,2644
