date,open,close,high,low,volume,amount,amplitude,pct_chg,chg,turnover
2025-02-20,183.320,183.080,183.830,181.240,20441462,3764944896.000,1.41,-0.39,-0.710,0.35
2025-02-21,183.670,178.180,183.860,177.600,35199239,6373140480.000,3.42,-2.68,-4.900,0.60
2025-02-24,180.510,177.770,181.640,177.405,29854206,5385157376.000,2.38,-0.23,-0.410,0.51
2025-02-25,176.560,173.940,177.260,173.214,41913411,7381789952.000,2.28,-2.15,-3.830,0.72
2025-02-26,173.590,171.250,174.600,170.101,35431268,6152139776.000,2.59,-1.55,-2.690,0.61
2025-02-27,172.510,167.020,173.080,166.460,39991015,6796882688.000,3.87,-2.47,-4.230,0.69
2025-02-28,167.200,168.800,169.130,165.290,48130565,8142695168.000,2.30,1.07,1.780,0.83
2025-03-03,170.445,165.530,171.890,164.450,40770451,6877210112.000,4.41,-1.94,-3.270,0.70
2025-03-04,164.760,169.440,171.815,164.320,45387996,7703948288.000,4.53,2.36,3.910,0.78
2025-03-05,169.040,171.540,172.300,167.580,30954922,5316293632.000,2.79,1.24,2.100,0.53
2025-03-06,169.050,170.870,173.330,169.020,28301953,4884825856.000,2.51,-0.39,-0.670,0.49
2025-03-07,169.780,172.380,173.490,168.790,27385813,4732051968.000,2.75,0.88,1.510,0.47
2025-03-10,166.980,164.590,167.180,162.410,43604027,7229959168.000,2.77,-4.52,-7.790,0.75
2025-03-11,163.630,162.760,165.470,160.090,39587414,6504914176.000,3.27,-1.11,-1.830,0.68
2025-03-12,165.300,165.830,166.360,162.250,28372396,4713962240.000,2.53,1.89,3.070,0.49
2025-03-13,164.755,161.480,164.850,160.830,31756214,5188235520.000,2.42,-2.62,-4.350,0.54
2025-03-14,161.990,164.210,165.210,161.170,31995894,5262738432.000,2.50,1.69,2.730,0.55
2025-03-17,163.750,163.010,165.020,162.390,31184335,5136708096.000,1.60,-0.73,-1.200,0.53
2025-03-18,162.395,159.390,162.970,155.440,42074751,6721186816.000,4.62,-2.22,-3.620,0.72
2025-03-19,160.480,162.610,164.590,159.720,34275582,5603951104.000,3.06,2.02,3.220,0.59
2025-03-20,160.290,161.520,163.610,159.680,28138464,4583592704.000,2.42,-0.67,-1.090,0.48
2025-03-21,159.925,162.710,162.960,159.610,36625764,5971076608.000,2.07,0.74,1.190,0.63
2025-03-24,165.785,166.400,167.040,163.860,30879129,5167707648.000,1.95,2.27,3.690,0.53
2025-03-25,167.700,169.280,169.350,167.035,24174373,4107136624.000,1.39,1.73,2.880,0.41
2025-03-26,167.720,163.780,168.330,163.560,28939326,4822442496.000,2.82,-3.25,-5.500,0.50
2025-03-27,163.350,160.960,164.140,160.720,24508273,4001884896.000,2.09,-1.72,-2.820,0.42
2025-03-28,159.210,153.050,160.540,152.350,48669335,7586077952.000,5.09,-4.91,-7.910,0.83
