trade_id,symbol,entry_time,exit_time,entry_price,exit_price,units,notional_entry_usd,notional_exit_usd,gross_pnl_usd,total_fee_usd,net_pnl_usd,net_ret_pct,duration_bars,exit_reason,stop_mode
58,ETHUSDT,2022-07-16 20:00:00,2022-07-23 16:00:00,1336.898115,1494.6289742857143,3.374076925590757,4510.7970816872785,5042.9931344568095,532.1960527695314,7.643032172915271,524.5530205966162,0.1162883213537075,41,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
59,ETHUSDT,2022-07-28 16:00:00,2022-08-01 08:00:00,1729.1841599999998,1663.2000235714286,2.9117254218582436,5034.909477746592,4842.781790268158,-192.12768747843342,7.9021530144118,-200.0298404928452,-0.03972858725205323,22,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
60,ETHUSDT,2022-08-08 12:00:00,2022-08-09 08:00:00,1790.2646849999999,1722.0123867857142,2.7007445897977718,4835.047662319762,4650.715637176266,-184.33202514349622,7.588610639596823,-191.92063578309305,-0.03969363886084491,5,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
61,ETHUSDT,2022-08-10 16:00:00,2022-08-14 16:00:00,1838.408745,1915.4689089285714,2.5257104833184014,4643.288239870726,4837.919903751354,194.63166388062746,7.584966514897664,187.04669736572978,0.04028324060514007,24,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
62,SOLUSDT,2022-08-13 04:00:00,2022-08-15 00:00:00,47.453714999999995,44.30843750000001,209.36998828864913,9935.383753802893,9276.857040463345,-658.5267133395483,15.369792635412992,-673.8965059749613,-0.06782792921481458,11,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
63,ETHUSDT,2022-09-11 00:00:00,2022-09-12 16:00:00,1775.0070599999997,1691.7999164285714,2.721216116183036,4830.1778180106685,4603.753197942542,-226.4246200681265,7.547144812762569,-233.97176488088908,-0.048439575869952435,10,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
64,SOLUSDT,2022-09-12 12:00:00,2022-09-13 12:00:00,37.71885,35.3718625,245.5550294055346,9262.05332089295,8685.738736316027,-576.3145845769233,14.358233645767182,-590.6728182226905,-0.06377342018645861,6,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
65,ETHUSDT,2022-10-25 16:00:00,2022-10-31 00:00:00,1408.994145,1562.4499471428574,3.2621871465706334,4596.402589412279,5097.0041347293945,500.6015453171159,7.754725379313339,492.84681993780254,0.10722446747224999,32,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
66,SOLUSDT,2022-10-31 12:00:00,2022-11-02 04:00:00,34.047015,31.831466785714287,254.70299431058982,8671.876667837567,8107.569903619515,-564.3067642180517,13.423557257165665,-577.7303214752174,-0.06662114137507459,10,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
67,SOLUSDT,2022-11-05 04:00:00,2022-11-06 16:00:00,34.707345,34.81412892857143,233.22531988063014,8094.631639832388,8119.53635573157,24.90471589918244,12.971334396451166,11.933381502731276,0.0014742340397565486,9,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
68,ETHUSDT,2022-12-13 16:00:00,2022-12-15 00:00:00,1324.4418899999998,1285.9752821428572,3.8422489174072667,5088.835418021334,4941.0371356258975,-147.79828239543625,8.023898042917786,-155.82218043835402,-0.030620400865497353,8,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
69,SOLUSDT,2023-01-09 00:00:00,2023-01-11 12:00:00,14.46723,15.490301071428572,560.3391248562895,8106.554997294657,8679.82174612473,573.2667488300721,13.429101394735511,559.8376474353365,0.06905987162514374,15,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
