trade_id,symbol,entry_time,exit_time,entry_price,exit_price,units,notional_entry_usd,notional_exit_usd,gross_pnl_usd,total_fee_usd,net_pnl_usd,net_ret_pct,duration_bars,exit_reason,stop_mode
46,ETHUSDT,2022-03-18 20:00:00,2022-03-31 20:00:00,2967.4930050000003,3281.9082250000006,2.6158383219711645,7762.4819226603695,8584.941304147365,822.4593814869953,13.077938581446189,809.3814429055491,0.10426838361359515,78,TRAILING_STOP,BAR_CLOSE
47,SOLUSDT,2022-03-23 16:00:00,2022-04-04 16:00:00,95.72784,129.25534,485.0820547851745,46435.85732734641,62699.44591915635,16263.588591809932,87.30824259720222,16176.28034921273,0.34835752541789294,72,TRAILING_STOP,BAR_CLOSE
48,SOLUSDT,2022-07-17 08:00:00,2022-07-21 04:00:00,40.380179999999996,40.009985,1550.2295829554457,62598.549601065824,62024.66236060364,-573.8872404621841,99.69856956933558,-673.5858100315197,-0.010760406020973544,23,TRAILING_STOP,BAR_CLOSE
49,ETHUSDT,2022-07-16 16:00:00,2022-07-25 04:00:00,1274.97717,1510.754245,3.361308612747113,4285.591742576939,5078.111255462762,792.5195128858227,7.490962398431761,785.0285504873909,0.18317856614483555,51,TRAILING_STOP,BAR_CLOSE
50,SOLUSDT,2022-07-30 16:00:00,2022-08-01 20:00:00,46.313145,41.07945,1337.1048241943995,61925.52960311473,54927.530770252626,-6997.998832862104,93.4824482986939,-7091.481281160798,-0.11451627990282236,13,TRAILING_STOP,BAR_CLOSE
51,ETHUSDT,2022-08-10 16:00:00,2022-08-15 08:00:00,1838.408745,1898.9300600000001,5.0889404421642155,9355.55261165886,9663.541979175321,307.98936751646073,15.215275672667346,292.77409184379337,0.03129415268093722,28,TRAILING_STOP,BAR_CLOSE
52,SOLUSDT,2022-08-13 00:00:00,2022-08-15 08:00:00,45.512745,43.79809,1204.9373239568413,54840.00516623011,52773.953359020896,-2066.051807209218,86.09116682020081,-2152.142974029419,-0.039244033028550576,14,TRAILING_STOP,BAR_CLOSE
53,ETHUSDT,2022-09-09 16:00:00,2022-09-13 16:00:00,1720.1996699999997,1593.6427800000001,5.608698188661729,9648.080773265503,8938.261373559844,-709.8193997056595,14.869073717460278,-724.6884734231198,-0.075112189714581,24,TRAILING_STOP,BAR_CLOSE
54,SOLUSDT,2022-09-12 12:00:00,2022-09-13 16:00:00,37.71885,34.72263,1396.9055258126605,52689.66999229887,48504.23371774846,-4185.436274550411,80.95512296803787,-4266.39139751845,-0.08097206526710124,7,TRAILING_STOP,BAR_CLOSE
55,ETHUSDT,2022-10-24 00:00:00,2022-10-31 20:00:00,1364.872095,1562.908155,3.2691711812600506,4462.000519080029,5109.414299282316,647.4137802022867,7.657131854689877,639.7566483475969,0.14337888254649986,47,TRAILING_STOP,BAR_CLOSE
56,SOLUSDT,2022-10-29 08:00:00,2022-11-02 08:00:00,33.29664,31.70414,1454.4068820023385,48426.86236355434,46110.71940396562,-2316.1429595887207,75.63006541401597,-2391.7730250027366,-0.04938938655672157,24,TRAILING_STOP,BAR_CLOSE
57,SOLUSDT,2022-11-05 04:00:00,2022-11-06 20:00:00,34.707345,34.162910000000004,1326.4367651254395,46037.09842789259,45314.93982767153,-722.1586002210593,73.0816306044513,-795.2402308255106,-0.01727389991945489,10,TRAILING_STOP,BAR_CLOSE
58,ETHUSDT,2022-12-13 16:00:00,2022-12-15 08:00:00,1324.4418899999998,1286.61637,7.220566159322433,9563.220290923044,9290.098621252271,-273.1216696707729,15.082655129740253,-288.2043248005132,-0.030136744321791174,10,TRAILING_STOP,BAR_CLOSE
59,SOLUSDT,2022-12-14 16:00:00,2022-12-16 12:00:00,14.48724,13.493250000000002,1561.4611961581702,22621.26309943049,21069.18628506123,-1552.0768143692571,34.95235950759337,-1587.0291738768506,-0.07015652339576058,11,TRAILING_STOP,BAR_CLOSE
60,SOLUSDT,2023-01-04 08:00:00,2023-01-08 00:00:00,14.167079999999999,13.09345,3081.5686880775843,43656.830129490176,40348.36553890945,-3308.46459058073,67.2041565347197,-3375.66874711545,-0.07732280921686036,22,TRAILING_STOP,BAR_CLOSE
61,SOLUSDT,2023-01-09 00:00:00,2023-01-11 16:00:00,14.46723,15.402295,2784.4996550218875,40283.9969441223,42887.685114045344,2603.6881699230407,66.53734564653412,2537.1508242765067,0.0629816060158026,16,TRAILING_STOP,BAR_CLOSE
62,SOLUSDT,2023-01-14 00:00:00,2023-01-18 16:00:00,18.299145,21.76911,2339.9462959447787,42819.01656170642,50938.548310514445,8119.531748808029,75.0060518977767,8044.525696910252,0.187872733726084,28,TRAILING_STOP,BAR_CLOSE
63,ETHUSDT,2023-01-04 16:00:00,2023-01-19 00:00:00,1256.517945,1510.6842800000002,7.381715553418033,9275.258057755365,11151.441645980123,1876.183588224759,16.341359762988393,1859.8422284617707,0.20051649419141412,86,TRAILING_STOP,BAR_CLOSE
64,ETHUSDT,2023-01-21 00:00:00,2023-01-25 00:00:00,1659.3592649999998,1555.192015,6.709540395247215,11133.538018745227,10434.623647008413,-698.9143717368137,17.254529332602914,-716.1689010694166,-0.06432536538372825,24,TRAILING_STOP,BAR_CLOSE
65,ETHUSDT,2023-02-02 16:00:00,2023-02-05 16:00:00,1678.989075,1643.3579100000002,6.204906782703579,10417.970699552707,10196.882642168579,-221.088057384129,16.491882673377027,-237.57994005750604,-0.02280481937501576,18,TRAILING_STOP,BAR_CLOSE
66,ETHUSDT,2023-02-16 16:00:00,2023-02-21 12:00:00,1725.00207,1668.6752450000001,5.901784411565866,10180.590326644851,9848.161548906854,-332.42877773799773,16.023001500441364,-348.4517792384391,-0.03422707014606647,29,TRAILING_STOP,BAR_CLOSE
67,SOLUSDT,2023-02-20 04:00:00,2023-02-22 04:00:00,26.17308,24.437775000000002,1943.0951518518746,50856.784857031256,47484.922124546945,-3371.862732484311,78.67336558526256,-3450.5360980695737,-0.06784809751087748,12,TRAILING_STOP,BAR_CLOSE
68,ETHUSDT,2023-03-14 16:00:00,2023-03-22 20:00:00,1770.9150149999998,1715.9815800000001,5.552175662648032,9832.431246900973,9527.431166028317,-305.0000808726559,15.487889930343432,-320.4879708029993,-0.03259498721682006,49,TRAILING_STOP,BAR_CLOSE
