trade_id,symbol,entry_time,exit_time,entry_price,exit_price,units,notional_entry_usd,notional_exit_usd,gross_pnl_usd,total_fee_usd,net_pnl_usd,net_ret_pct,duration_bars,exit_reason,stop_mode
162,SOLUSDT,2023-03-23 00:00:00,2023-03-24 16:00:00,21.420704999999998,21.199395000000003,4649.420833140936,99593.87208756621,98564.90876298382,-1028.9633245823995,158.52702468044004,-1187.4903492628396,-0.011923327453507972,10,EMA200_BREAKDOWN,BAR_CLOSE
163,SOLUSDT,2023-03-29 08:00:00,2023-03-30 04:00:00,21.2106,21.04947,4639.537741987344,98407.37923019675,97659.81051383034,-747.5687163664207,156.85375179522168,-904.4224681616424,-0.009190596022743346,5,EMA200_BREAKDOWN,BAR_CLOSE
164,SOLUSDT,2023-04-01 00:00:00,2023-04-01 04:00:00,21.160574999999998,21.019485000000003,4607.800897513815,97503.71647690838,96853.60184827818,-650.1146286302003,155.48585466014924,-805.6004832903495,-0.008262254121166124,1,EMA200_BREAKDOWN,BAR_CLOSE
165,SOLUSDT,2023-04-02 00:00:00,2023-04-02 04:00:00,21.080534999999998,21.019485000000003,4587.112836463781,96698.792698024,96418.7494593579,-280.0432386660886,154.49403372590552,-434.5372723919941,-0.004493719727701148,1,EMA200_BREAKDOWN,BAR_CLOSE
166,SOLUSDT,2023-04-02 08:00:00,2023-04-02 12:00:00,21.19059,20.969510000000003,4542.800386253559,96264.62043694081,95260.29812754788,-1004.3223093929234,153.21993485159095,-1157.5422442445144,-0.01202458638480557,1,EMA200_BREAKDOWN,BAR_CLOSE
167,SOLUSDT,2023-04-05 04:00:00,2023-04-05 16:00:00,21.15057,20.799595,4496.713352320125,95108.05052818145,93529.8165593509,-1578.2339688305478,150.9102936700259,-1729.1442625005739,-0.0181808401381144,3,EMA200_BREAKDOWN,BAR_CLOSE
168,SOLUSDT,2023-04-11 00:00:00,2023-04-20 16:00:00,20.900444999999998,22.118935,4467.864619478743,93380.3587468614,98824.40710705006,5444.048360188666,153.76381268312917,5290.284547505537,0.05665307585556206,58,EMA200_BREAKDOWN,BAR_CLOSE
169,SOLUSDT,2023-04-21 04:00:00,2023-04-21 12:00:00,22.321154999999997,22.00899,4420.299910795254,98666.19945534701,97286.33653369364,-1379.8629216533857,156.76202879123252,-1536.6249504446182,-0.01557397527144078,2,EMA200_BREAKDOWN,BAR_CLOSE
170,ETHUSDT,2023-03-13 00:00:00,2023-04-21 20:00:00,1581.1201649999998,1841.768655,20.984717185067556,33179.35949813235,38648.99434549726,5469.634847364914,57.462683074903694,5412.17216429001,0.16311864502974083,239,EMA200_BREAKDOWN,BAR_CLOSE
171,ETHUSDT,2023-04-26 12:00:00,2023-04-26 20:00:00,1915.5372899999998,1827.82563,20.144210002721668,38586.98543780435,36820.10333907703,-1766.8820987273161,60.32567102150511,-1827.2077697488212,-0.047352954604188216,2,EMA200_BREAKDOWN,BAR_CLOSE
172,SOLUSDT,2023-04-26 12:00:00,2023-04-26 20:00:00,22.47123,21.079455,4322.454323588909,97130.86526986079,91114.98140364783,-6015.883866212949,150.5966773388069,-6166.480543551756,-0.06348631329927196,2,EMA200_BREAKDOWN,BAR_CLOSE
173,ETHUSDT,2023-04-27 04:00:00,2023-05-01 00:00:00,1899.36921,1869.14496,19.354484809502683,36761.31252258211,36176.3377350785,-584.9747875036112,58.350120206128494,-643.3249077097397,-0.017500052733823133,23,EMA200_BREAKDOWN,BAR_CLOSE
