symbol,entry_time,exit_time,entry_price,exit_price,units,leverage,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,funding_cost_usdt,borrow_cost_usdt,net_pnl_usdt,gross_ret_pct,exit_reason,bars_held
BTCUSDT,2026-01-14 12:00:00,2026-01-17 04:00:00,94840.39649999999,95325.25353,1.4424239926822802,1.0,699.369413092692,109.5276728479588,109.99954624015459,68.78410845432457,0.0,0.0,479.8421940045786,0.5112347142074779,SIGNAL_EXIT,16
BNBUSDT,2026-01-17 04:00:00,2026-01-19 00:00:00,938.1188249999999,932.0437450000001,146.33489708230718,1.0,-888.9962065667598,109.91154660316248,109.11242040062655,68.2293774391013,0.0,0.0,-1108.0201735705489,-0.6475810780153403,SIGNAL_EXIT,11
ETHUSDT,2026-01-19 00:00:00,2026-01-19 00:00:00,3285.6820199999997,3240.079956077143,41.44417722744766,1.0,-1889.940019156275,109.02513046430603,107.42595834460955,201.72626128806724,0.0,0.0,-2106.3911079651907,-1.3879025312028466,STOP_LOSS,1
BNBUSDT,2026-01-19 04:00:00,2026-01-20 08:00:00,925.632585,917.3111150000001,144.838982688622,1.0,-1205.2732492738673,107.34001757793388,106.28992696445245,66.46443657105318,0.0,0.0,-1418.9031938162536,-0.8990035717033301,SIGNAL_EXIT,7
BTCUSDT,2026-03-04 16:00:00,2026-03-05 16:00:00,73433.568435,70704.11445440685,1.8063934071376881,1.0,-4930.467675629171,106.20489502288089,102.17555696635925,191.8669697665659,0.0,0.0,-5138.848127618411,-3.716902281562319,STOP_LOSS,7
BTCUSDT,2026-03-10 16:00:00,2026-03-10 16:00:00,71381.843085,70099.82911060477,1.7863811205129505,1.0,-2290.1655600934146,102.09381652078616,100.18000901949479,188.11969645622315,0.0,0.0,-2492.4393856336956,-1.7959944980247091,STOP_LOSS,1
BNBUSDT,2026-03-13 04:00:00,2026-03-14 04:00:00,661.900785,651.2085020644042,188.88741973668564,1.0,-2019.6377347992877,100.09986501227921,98.40407493242995,184.78481772487663,0.0,0.0,-2218.1416747439966,-1.6153905808701847,STOP_LOSS,7
BNBUSDT,2026-03-15 08:00:00,2026-03-16 00:00:00,660.35001,673.433115,185.9746534098372,1.0,2433.1259178995165,98.325351672484,100.19319212546564,62.65207111396155,0.0,0.0,2234.607374101567,1.9812379498563266,SIGNAL_EXIT,4
ETHUSDT,2026-03-16 00:00:00,2026-03-18 12:00:00,2179.379145,2180.462296435065,57.374681323352206,1.0,62.14546841180016,100.11303757176526,100.08266351643728,187.93689944246765,0.0,0.0,-138.05023267640237,0.04970000000001133,STOP_LOSS,16
ETHUSDT,2026-03-18 16:00:00,2026-03-18 20:00:00,2188.7638349999997,2184.757075,57.06565602800384,1.0,-228.6483879467509,100.00259738562414,99.73967659735824,62.3684821144017,0.0,0.0,-428.3906619297333,-0.18306040770267748,SIGNAL_EXIT,1
ETHUSDT,2026-03-19 00:00:00,2026-03-19 08:00:00,2204.4916949999997,2165.59666,56.46435251607712,1.0,-2196.1829673651323,99.65988485608035,97.82321057430337,61.170091654748916,0.0,0.0,-2393.6660627955157,-1.764353891113187,SIGNAL_EXIT,2
SOLUSDT,2026-03-24 00:00:00,2026-03-24 04:00:00,91.48571999999999,90.29483,1334.4535634118536,1.0,-1589.187404131518,97.74495200584393,96.39540612093404,60.27726745931185,0.0,0.0,-1783.327762258296,-1.3017222797175143,SIGNAL_EXIT,1
SOLUSDT,2026-03-24 08:00:00,2026-03-24 12:00:00,91.75585499999998,89.07282434497628,1311.1048221963665,1.0,-3517.734429902249,96.31828979603729,93.42704762027866,175.4388725969196,0.0,0.0,-3707.479767318565,-2.9240974922240115,STOP_LOSS,2
SOLUSDT,2026-03-25 08:00:00,2026-03-26 04:00:00,91.86590999999999,89.13495240359649,1269.2088955712284,1.0,-3466.1556747831414,93.35230598218243,90.50469959757017,169.9512386033421,0.0,0.0,-3650.012680362894,-2.9727649749548006,STOP_LOSS,6
ETHUSDT,2026-04-06 04:00:00,2026-04-06 20:00:00,2130.414675,2091.4559924517857,53.01781799898992,1.0,-2065.5043408216484,90.43229583789211,88.70754652856449,166.57651451282456,0.0,0.0,-2244.6441831881048,-1.8286901139663927,STOP_LOSS,5
ETHUSDT,2026-04-08 00:00:00,2026-04-09 00:00:00,2241.130005,2165.6174132067863,49.39788802376314,1.0,-3730.162553785305,88.63658049134165,85.58154118392034,160.70644939392758,0.0,0.0,-3904.380675460567,-3.3693980993848545,STOP_LOSS,7
ETHUSDT,2026-04-09 04:00:00,2026-04-09 08:00:00,2183.581245,2180.04943,48.913147659301096,1.0,-172.7521886003259,85.51307595097319,85.30646373933216,53.34321144279633,0.0,0.0,-343.57172829063126,-0.16174415346747606,SIGNAL_EXIT,1
BTCUSDT,2026-04-09 08:00:00,2026-04-11 16:00:00,71017.50100499998,72821.75091,1.4991028054389302,1.0,2704.7560942984514,85.2382185683407,87.33383286892477,54.61095101857309,0.0,0.0,2532.1840428611863,2.5405708163020133,SIGNAL_EXIT,14
ETHUSDT,2026-04-11 16:00:00,2026-04-12 08:00:00,2250.66477,2197.343089630714,48.42688913084307,1.0,-2582.2031035136542,87.26396580262964,85.12839214717661,159.85551855378733,0.0,0.0,-2754.5954614634607,-2.3691524868577294,STOP_LOSS,5
ETHUSDT,2026-04-12 12:00:00,2026-04-13 16:00:00,2205.7223099999997,2208.17536,48.16576457550096,1.0,118.15302879195818,85.06028943345888,85.08676362494568,53.20583018068223,0.0,0.0,-51.994024266446374,0.11121300214805964,SIGNAL_EXIT,7
BTCUSDT,2026-04-13 16:00:00,2026-04-14 00:00:00,71902.52329499999,74380.791,1.4768375879894509,1.0,3659.9988998443605,85.01869421404571,87.87867837854996,54.95164981150326,0.0,0.0,3487.1015272517648,3.446704776732559,SIGNAL_EXIT,2
ETHUSDT,2026-04-14 00:00:00,2026-04-14 20:00:00,2370.64473,2312.1633400000005,46.26279911599114,1.0,-2705.5127975939085,87.80837543584713,85.57371849742333,53.51032922548598,0.0,0.0,-2878.894891527179,-2.4668981083470687,SIGNAL_EXIT,5
BTCUSDT,2026-04-14 20:00:00,2026-04-15 00:00:00,74260.41165,74094.48422500001,1.438129236976282,1.0,-238.62508110867074,85.50525952262538,85.24595525012035,53.30537471867805,0.0,0.0,-409.37629588141647,-0.22343994776385964,SIGNAL_EXIT,1
ETHUSDT,2026-04-15 00:00:00,2026-04-16 16:00:00,2323.60122,2337.8404950000004,45.78540389512895,1.0,651.9509570488289,85.17775848592024,85.63117704477057,53.54625878236567,0.0,0.0,481.1420215181381,0.6128106181662429,SIGNAL_EXIT,10
SOLUSDT,2026-04-16 16:00:00,2026-04-17 20:00:00,86.66331,89.19538,1233.1375002502825,1.0,3122.3904702587383,85.56267210313476,87.99213434165924,55.022595261161165,0.0,0.0,2948.8356638139444,2.9217323917122533,SIGNAL_EXIT,7
BNBUSDT,2026-04-17 20:00:00,2026-04-18 16:00:00,641.6806799999999,633.053315,171.13535980559396,1.0,-1476.447213449178,87.92174063418591,86.67024547091923,54.196001420035685,0.0,0.0,-1651.0391995542832,-1.3444950532093225,SIGNAL_EXIT,5
BTCUSDT,2026-04-18 16:00:00,2026-04-19 16:00:00,76205.413665,74552.51404164535,1.4193812549774518,1.0,-2346.09474174888,86.60090927454247,84.65475275372374,158.96611057909988,0.0,0.0,-2517.3504037771463,-2.1690055126802643,STOP_LOSS,7
BTCUSDT,2026-04-19 20:00:00,2026-04-21 04:00:00,75002.94273,75672.454845,1.4086007203846873,1.0,943.0752474952826,84.58702895152076,85.27381952635578,53.32279860327043,0.0,0.0,773.2143990174061,0.892647795714035,SIGNAL_EXIT,8
BNBUSDT,2026-04-21 04:00:00,2026-04-22 00:00:00,630.184935,631.4141350000001,168.87391157319183,1.0,207.57981210578518,85.20560047073471,85.30349984004275,53.34135807905223,0.0,0.0,37.070711795007725,0.1950538535168419,SIGNAL_EXIT,5
