symbol,entry_time,exit_time,entry_price,exit_price,units,leverage,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,funding_cost_usdt,borrow_cost_usdt,net_pnl_usdt,gross_ret_pct,exit_reason,bars_held
BNBUSDT,2024-03-28 04:00:00,2024-03-28 16:00:00,582.0908999999999,584.9074,368.9057870729392,1.0,1039.0231492909822,171.9269028122462,172.62057980942922,107.94183329753945,0.0,0.0,694.4756666693067,0.4838591360902796,SIGNAL_EXIT,3
BTCUSDT,2024-03-28 16:00:00,2024-03-29 00:00:00,71326.02519,70745.2097,3.020364882590361,1.0,-1754.2747092604936,172.48248334558167,170.94107759149682,106.89161930433498,0.0,0.0,-2097.698270197572,-0.8143107490608136,SIGNAL_EXIT,2
SOLUSDT,2024-03-29 00:00:00,2024-03-29 08:00:00,189.73481999999998,183.538185,1124.3829761297904,1.0,-6967.390903290008,170.8043247294236,165.09376854700807,103.23522295335319,0.0,0.0,-7303.28899656644,-3.2659450700720023,SIGNAL_EXIT,2
BNBUSDT,2024-03-29 08:00:00,2024-03-30 08:00:00,607.1034,598.9004000000001,339.37737001914485,1.0,-2783.912566266998,164.96169353217044,162.60259412433112,101.67746005771586,0.0,0.0,-3111.4768539234997,-1.3511701631056359,SIGNAL_EXIT,6
SOLUSDT,2024-03-30 08:00:00,2024-03-31 04:00:00,195.85787999999997,194.20285,1036.0990711695672,1.0,-1714.775045757721,162.47251204903165,160.97071400278622,100.65702476412261,0.0,0.0,-2038.218271809539,-0.8450157838938899,SIGNAL_EXIT,5
BNBUSDT,2024-03-31 04:00:00,2024-03-31 08:00:00,608.9043,606.59655,329.92307633900504,1.0,-761.3799794213571,160.841937431584,160.10415989810167,100.11515751507042,0.0,0.0,-1082.3260767510428,-0.3790004439121312,SIGNAL_EXIT,1
SOLUSDT,2024-03-31 08:00:00,2024-04-01 12:00:00,196.84837499999998,189.9244888660714,1015.0458170465405,1.0,-7028.06165795073,159.97607657018318,154.22564638256642,289.6074982146288,0.0,0.0,-7342.263380903479,-3.5173702266673845,STOP_LOSS,8
SOLUSDT,2024-04-01 16:00:00,2024-04-02 04:00:00,188.17404,180.80742144,1022.8495390010229,1.0,-7534.942398092357,154.1022658654604,147.95103013429414,277.82491888010014,0.0,0.0,-7836.995694092111,-3.9147900316111497,STOP_LOSS,4
SOLUSDT,2024-04-02 08:00:00,2024-04-02 16:00:00,183.27159,177.34128500000003,1007.4829599526212,1.0,-5974.6812348218045,147.83266931018673,142.93465818688114,89.37885079217585,0.0,0.0,-6265.448562318873,-3.23580157732029,SIGNAL_EXIT,2
SOLUSDT,2024-04-02 20:00:00,2024-04-03 00:00:00,185.76283499999997,181.43923500000002,960.2704855627026,1.0,-4151.825471378846,142.82031046033163,139.38459383486025,87.15895062207586,0.0,0.0,-4434.030375674038,-2.3274838586523203,SIGNAL_EXIT,1
SOLUSDT,2024-04-03 04:00:00,2024-04-04 04:00:00,188.564235,181.419245,922.508367578723,1.0,-6591.313061266306,139.2730861597924,133.88861724185153,83.72224689960836,0.0,0.0,-6864.47476466795,-3.789154396113349,SIGNAL_EXIT,6
BNBUSDT,2024-04-04 04:00:00,2024-04-07 04:00:00,576.5881499999999,589.705,289.7962808093169,1.0,3801.2143459337212,133.78150634805806,136.7154526197266,85.48990283873663,0.0,0.0,3530.717386965937,2.274908008428566,SIGNAL_EXIT,18
BTCUSDT,2024-04-07 04:00:00,2024-04-08 20:00:00,69442.74401999998,71730.117,2.457002479519543,1.0,5620.081083446042,136.6060802576308,140.99286026018154,88.16461997260376,0.0,0.0,5342.482142928229,3.293897745949146,SIGNAL_EXIT,10
ETHUSDT,2024-04-08 20:00:00,2024-04-09 08:00:00,3704.6514,3609.1192312928574,47.49683125354108,1.0,-4537.475296367978,140.88006597197338,137.13738168210142,257.51886895737505,0.0,0.0,-4815.492744022054,-2.5787087202629313,STOP_LOSS,4
ETHUSDT,2024-04-09 12:00:00,2024-04-09 12:00:00,3634.666425,3533.8826378625004,47.08755688609523,1.0,-4745.662310033122,137.0276717767557,133.1215197913078,249.97781633318405,0.0,0.0,-5015.811501601185,-2.77284832644579,STOP_LOSS,1
ETHUSDT,2024-04-09 16:00:00,2024-04-10 00:00:00,3531.6949649999997,3504.6468000000004,47.041368193803784,1.0,-1272.3826887317211,133.01502257547475,131.890704406429,82.4729267173604,0.0,0.0,-1537.288415713625,-0.7658692290261043,SIGNAL_EXIT,2
BTCUSDT,2024-04-10 00:00:00,2024-04-10 04:00:00,69180.57299999999,69115.60491,2.3792763990518977,1.0,-154.57704322846735,131.78519184290386,131.55610205484675,82.2636956320916,0.0,0.0,-417.9183371262179,-0.09391088738162787,SIGNAL_EXIT,1
ETHUSDT,2024-04-10 04:00:00,2024-04-10 12:00:00,3514.766505,3421.999348797181,46.71209890494003,1.0,-4333.348575676103,131.4508571732029,127.87901762692344,240.1333580875995,0.0,0.0,-4592.678450476229,-2.639354735822459,STOP_LOSS,3
BNBUSDT,2024-04-10 16:00:00,2024-04-11 12:00:00,593.3965499999999,592.5036,268.94850720250156,1.0,-240.1575695064544,127.7767144128219,127.48236698568648,79.71633753480766,0.0,0.0,-495.4166509049628,-0.15048115800469822,SIGNAL_EXIT,5
BTCUSDT,2024-04-11 12:00:00,2024-04-11 16:00:00,70018.15158,69965.0,2.2722407317801157,1.0,-120.77318503448117,127.38038109209792,127.18185823919664,79.52842561230405,0.0,0.0,-375.33542436577574,-0.07591114418277134,SIGNAL_EXIT,1
BNBUSDT,2024-04-11 16:00:00,2024-04-12 16:00:00,603.00135,603.30104167095,263.22173379546166,1.0,78.88536123151347,127.08011275260529,127.04155695138842,238.5607604244943,0.0,0.0,-175.23630847248023,0.049699999999997156,STOP_LOSS,7
BNBUSDT,2024-04-13 04:00:00,2024-04-13 16:00:00,583.4916000000001,558.3635108142859,271.72278865467524,1.0,-6827.874467105651,126.93992370582731,121.37607219317815,227.92201838977186,0.0,0.0,-7076.1904630046565,-4.306504015775754,STOP_LOSS,4
BNBUSDT,2024-04-22 08:00:00,2024-04-24 16:00:00,603.3014999999999,596.7015,251.08081978570263,1.0,-1657.1334105856145,121.27897133542358,119.85624142988677,74.94762470602973,0.0,0.0,-1898.2686233509248,-1.093980372997566,SIGNAL_EXIT,14
SOLUSDT,2024-05-06 12:00:00,2024-05-06 16:00:00,154.066995,153.75308500000003,970.8807859171383,1.0,-304.76918750721427,119.76035643674285,119.42073280158768,74.67529564880253,0.0,0.0,-543.9502767455448,-0.20374902489658114,SIGNAL_EXIT,1
BTCUSDT,2024-05-15 16:00:00,2024-05-16 04:00:00,64757.48256,65942.402305,2.301466397105225,1.0,2727.0529763839904,119.32519621534641,121.41137843948131,75.92007156046397,0.0,0.0,2486.316401729163,1.8297804333300496,SIGNAL_EXIT,3
SOLUSDT,2024-05-16 04:00:00,2024-05-16 16:00:00,163.191555,156.8883689175,928.4885937974882,1.0,-5852.436382184315,121.31424933672974,116.5352488315129,218.83183931805968,0.0,0.0,-6090.285880352558,-3.8624462414737035,STOP_LOSS,4
