event_idx,timestamp,symbol,close,U,L,atr14,ma_order_type,ma_cross_count_12,congestion_ratio,congestion_ratio_delta_3,price_location,dist_to_u,dist_to_l,dist_to_ma200,ma20_slope_3,ma20_slope_6,ma20_slope_12,ma50_slope_3,ma50_slope_6,ma50_slope_12,ma100_slope_3,ma100_slope_6,ma100_slope_12,ma200_slope_12,atr_ratio,vol_ratio_20,taker_buy_ratio,candle_body_ratio,upper_shadow_ratio,lower_shadow_ratio,long_net_r,long_exit_reason,long_bars_held,short_net_r,short_exit_reason,short_bars_held,action_label
5971,2024-01-21 17:35:00+00:00,ETHUSDT,2474.17,2474.0061203374494,2473.0363140545574,1.9860618837330755,5,0,0.4883,-0.3911,1,0.0825,0.5708,0.2572,0.1517,0.1402,0.1023,0.048,0.0366,0.0093,0.0174,0.0108,-0.0039,-0.0003,0.000803,0.6023,0.2763,1.0,0.0,0.0,-1.243,SL,6,-1.039,SL,1,0
6001,2024-01-21 20:05:00+00:00,BTCUSDT,41737.13,41700.51425495656,41690.9497300995,21.74976260530247,4,1,0.4398,-0.3511,1,1.6835,2.1233,1.7325,0.1864,0.1293,0.0639,0.0745,0.0466,0.0147,0.027,0.012,-0.0051,-0.0023,0.000521,1.454,0.4085,0.2696,0.0159,0.7146,-1.361,SL,8,-1.02,SL,1,0
6018,2024-01-21 21:30:00+00:00,BTCUSDT,41690.87,41699.24928339743,41692.12802614789,25.134479737793114,5,2,0.2833,-0.1166,-1,-0.3334,-0.0501,-0.3259,0.0631,0.0184,-0.0681,0.0227,0.003,-0.024,0.0058,-0.0044,-0.017,-0.008,0.000603,1.0134,0.3428,0.8358,0.0,0.1642,-1.138,SL,1,-1.085,SL,3,0
6038,2024-01-21 23:10:00+00:00,BTCUSDT,41584.09,41697.98948201032,41679.80817136733,37.684757091367345,5,3,0.4825,0.2803,-1,-3.0224,-2.54,-3.0435,-0.1425,-0.1496,-0.0913,-0.0636,-0.0617,-0.0316,-0.0339,-0.0322,-0.0162,-0.0075,0.000906,3.097,0.3723,0.8352,0.0,0.1648,-1.12,SL,1,-0.857,TIME_12B,12,0
6040,2024-01-21 23:20:00+00:00,BNBUSDT,318.3,320.1887578927819,319.88558862795173,0.6237925131505119,2,1,0.486,-0.7449,-1,-3.0279,-2.5419,-1.4801,-0.244,-0.157,-0.0926,-0.0957,-0.0557,-0.0219,-0.0361,-0.015,0.0032,0.0132,0.00196,1.9686,0.4933,0.4286,0.4286,0.1429,-1.12,SL,1,-1.104,TIME_12B,12,0
6056,2024-01-22 00:40:00+00:00,BNBUSDT,319.7,319.68389731041566,319.3793128174305,0.7440442843903332,3,0,0.4094,-0.1805,1,0.0216,0.431,0.6698,0.0243,0.0224,-0.026,-0.0086,-0.0112,-0.0318,-0.0037,-0.0048,-0.0141,-0.0001,0.002327,0.7776,0.5338,0.625,0.125,0.25,-1.475,SL,3,-1.041,SL,1,0
6144,2024-01-22 08:00:00+00:00,BNBUSDT,317.2,317.7930721063313,317.5785094478399,0.5249136906990913,1,1,0.4088,-0.2539,-1,-1.1298,-0.7211,-1.7385,-0.0541,-0.0502,0.0316,-0.0015,0.0028,0.0369,-0.0083,-0.0065,0.009,-0.0024,0.001655,1.9245,0.3665,0.7,0.0,0.3,-1.12,SL,1,0.326,TIME_12B,12,2
6217,2024-01-22 14:05:00+00:00,SOLUSDT,88.23,88.73323773780757,88.52842375116556,0.44465825197643855,4,2,0.4606,-0.0791,-1,-1.1317,-0.6711,-2.7866,-0.0648,-0.035,0.0598,-0.008,0.0058,0.043,-0.0133,-0.0068,0.01,-0.0126,0.00504,1.2748,0.4263,0.3286,0.2,0.4714,-1.12,SL,1,1.641,TP,8,2
6219,2024-01-22 14:15:00+00:00,BTCUSDT,40621.96,40941.889586190344,40887.32199209039,118.95385771269,4,0,0.4587,-0.1526,-1,-2.6895,-2.2308,-4.0176,-0.131,-0.0654,-0.0113,-0.0428,-0.0142,0.0096,-0.0299,-0.0158,-0.0048,-0.0161,0.002928,2.9979,0.4248,0.5837,0.1331,0.2832,-1.12,SL,1,0.105,TIME_12B,12,0
6410,2024-01-23 06:10:00+00:00,SOLUSDT,85.13,85.32576231257138,85.22154306935074,0.2223754727530544,0,0,0.4687,-0.2967,-1,-0.8803,-0.4117,-3.0253,-0.1096,-0.0662,-0.0606,-0.026,-0.0048,0.0035,-0.0097,0.0011,0.005,-0.0253,0.002612,0.8066,0.4233,0.1429,0.381,0.4762,-1.12,SL,1,-1.586,SL,4,0
6417,2024-01-23 06:45:00+00:00,BTCUSDT,39981.48,40059.79168960071,40041.05814190632,45.45868978184137,1,2,0.4121,-0.3193,-1,-1.7227,-1.3106,-4.7292,-0.0901,-0.0082,-0.0398,-0.0138,0.02,0.0121,-0.007,0.0095,0.0049,-0.0337,0.001137,1.7058,0.1965,1.0,0.0,0.0,-1.12,SL,1,0.687,TIME_12B,12,2
6425,2024-01-23 07:25:00+00:00,ETHUSDT,2333.38,2343.2410350148675,2341.9493737274947,3.487173234174259,0,0,0.3704,-0.9095,-1,-2.8278,-2.4574,-4.9795,-0.2522,-0.1504,-0.0853,-0.0873,-0.04,-0.0058,-0.036,-0.0116,0.0059,-0.0236,0.001494,3.898,0.5369,0.3738,0.4678,0.1584,-1.12,SL,1,1.484,TP,10,2
6429,2024-01-23 07:45:00+00:00,BNBUSDT,307.8,309.8865149108699,309.6180310976985,0.6489054472891188,2,1,0.4137,-0.2924,-1,-3.2154,-2.8017,-3.486,-0.2113,-0.1799,-0.1573,-0.0922,-0.0744,-0.0536,-0.0359,-0.0257,-0.0129,-0.0131,0.002108,2.5085,0.3308,0.5556,0.1111,0.3333,-1.12,SL,1,1.075,TIME_12B,12,2
6566,2024-01-23 19:10:00+00:00,SOLUSDT,81.54,82.17545686369867,81.96566433355895,0.4838957518556343,0,0,0.4335,-0.4131,-1,-1.3132,-0.8797,-2.0078,-0.1688,-0.1657,-0.112,-0.0589,-0.0503,-0.0161,-0.0208,-0.0154,0.003,-0.0102,0.005934,1.0232,0.5798,0.4259,0.2778,0.2963,-1.12,SL,1,0.01,TIME_12B,12,0
6567,2024-01-23 19:15:00+00:00,BTCUSDT,39188.26,39269.02453625031,39216.17217401404,116.43597479410082,0,0,0.4539,-0.4365,-1,-0.6936,-0.2397,-1.7212,-0.1409,-0.1568,-0.089,-0.0395,-0.0375,0.0021,-0.0163,-0.0144,0.0058,-0.0126,0.002971,0.6453,0.5677,0.3516,0.5888,0.0595,-1.12,SL,1,-1.552,SL,11,0
6595,2024-01-23 21:35:00+00:00,BTCUSDT,39199.99,39215.80301957386,39197.82650057309,91.67869481267944,3,2,0.1961,0.0754,0,-0.1725,0.0236,-1.5903,-0.0497,-0.0683,-0.0584,-0.0271,-0.0318,-0.0223,-0.0129,-0.0146,-0.0088,-0.0193,0.002339,0.5333,0.5865,0.8573,0.0001,0.1426,-1.224,SL,2,-1.195,SL,4,0
6607,2024-01-23 22:35:00+00:00,SOLUSDT,82.6,81.6066853661923,81.48423338285409,0.4108672640332933,5,0,0.298,-0.6957,1,2.4176,2.7156,1.1934,0.2325,0.1452,0.0702,0.0814,0.0403,0.0031,0.034,0.0127,-0.0062,-0.0164,0.004974,2.0191,0.5571,0.5833,0.1042,0.3125,0.647,TIME_12B,12,-1.02,SL,1,1
6664,2024-01-24 03:20:00+00:00,ETHUSDT,2214.59,2226.239200403648,2223.9443040283945,5.697674012658308,2,1,0.4028,-0.1808,-1,-2.0446,-1.6418,-3.2091,-0.1025,-0.1158,-0.0839,-0.0501,-0.0516,-0.0318,-0.0159,-0.0155,-0.0038,-0.0182,0.002573,1.596,0.2742,0.8813,0.0527,0.0659,-1.12,SL,1,-0.799,TIME_12B,12,0
6674,2024-01-24 04:10:00+00:00,BNBUSDT,296.0,298.29121502265644,297.91396042717747,0.7891598805236577,2,1,0.478,-0.7883,-1,-2.9034,-2.4253,-3.1906,-0.1868,-0.1113,-0.0622,-0.0676,-0.0335,-0.0096,-0.0225,-0.0048,0.0079,-0.0041,0.002666,4.6891,0.2904,0.8182,0.0,0.1818,-1.12,SL,1,0.841,TIME_12B,12,2
6690,2024-01-24 05:30:00+00:00,ETHUSDT,2228.0,2221.6943843409667,2220.6541190987596,3.4075311240778285,5,0,0.3053,-0.5289,1,1.8505,2.1558,-0.4415,0.2041,0.1438,0.0477,0.0631,0.0318,-0.0127,0.0292,0.0129,-0.0088,-0.0289,0.001529,4.417,0.5584,0.2294,0.5413,0.2294,-0.615,TIME_12B,12,-1.02,SL,1,0
6754,2024-01-24 10:50:00+00:00,BNBUSDT,296.1,294.6822809621,294.2077496223077,0.9600727583300837,1,2,0.4943,-0.3012,1,1.4767,1.9709,0.2054,0.212,0.1717,0.125,0.0984,0.0766,0.0482,0.038,0.0256,0.009,-0.0099,0.003242,1.4068,0.4333,0.5385,0.3077,0.1538,-1.675,SL,5,-1.02,SL,1,0
6784,2024-01-24 13:20:00+00:00,BNBUSDT,294.8,295.4189321787393,295.08424203097934,0.8021102003932369,0,0,0.4173,-0.2952,-1,-0.7716,-0.3544,-1.2777,-0.1133,-0.1249,-0.0396,-0.0283,-0.0268,0.0156,-0.0116,-0.0102,0.0108,-0.0043,0.002721,0.9023,0.5093,0.3333,0.4444,0.2222,-1.12,SL,1,-0.62,TIME_12B,12,0
6799,2024-01-24 14:35:00+00:00,BTCUSDT,40137.59,40046.382299219316,40001.16224142389,130.45824281121773,3,1,0.3466,-0.4402,1,0.6991,1.0458,1.9108,0.0463,-0.028,-0.0638,0.0011,-0.0285,-0.0383,0.0061,-0.008,-0.0109,0.0046,0.00325,2.5006,0.5613,0.3961,0.0191,0.5848,-1.928,SL,2,-1.02,SL,1,0
6800,2024-01-24 14:40:00+00:00,ETHUSDT,2239.63,2235.1344385185866,2231.6220946520616,7.485779243913926,3,3,0.4692,-0.6952,1,0.6005,1.0697,0.6779,0.0932,0.0064,-0.0636,0.0131,-0.0236,-0.048,0.0062,-0.0118,-0.0221,-0.0098,0.003342,1.6548,0.5226,0.1713,0.6031,0.2256,-1.967,SL,1,-1.02,SL,1,0
6801,2024-01-24 14:45:00+00:00,SOLUSDT,86.29,86.53189888150035,86.25741617096706,0.5517293846310256,2,2,0.4975,-0.0756,0,-0.4384,0.0591,1.5582,0.0537,0.0409,-0.0414,0.0061,-0.0026,-0.0346,0.0134,0.0092,-0.0049,0.0134,0.006394,0.6768,0.4887,0.6042,0.0417,0.3542,-1.45,SL,1,-1.838,SL,5,0
6816,2024-01-24 16:00:00+00:00,ETHUSDT,2234.01,2234.3789732824516,2232.8385512584423,5.799778518781386,5,0,0.2656,-0.0283,0,-0.0636,0.202,-0.0361,0.0276,0.0572,0.0298,0.002,0.0106,-0.0044,-0.0006,0.0034,-0.0041,-0.0017,0.002596,0.6358,0.3631,0.3713,0.0,0.6287,-1.328,SL,1,-1.157,SL,6,0
