symbol,entry_time,exit_time,entry_price,exit_price,units,leverage,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,entry_slippage_usdt,exit_slippage_usdt,slippage_cost_usdt,funding_cost_usdt,borrow_cost_usdt,net_pnl_usdt,gross_ret_pct,exit_reason,bars_held
ETHUSDT,2023-01-09 20:00:00,2023-01-10 20:00:00,1330.7750549999998,1338.8102600000002,434.81654489247114,1.0,3493.840075602865,463.28503718509864,465.70948121583285,289.17691726343566,291.2140327762052,580.3909500396409,0.0,0.0,2564.8455572019334,0.6037988892119984,SIGNAL_EXIT,6
BTCUSDT,2023-01-10 20:00:00,2023-01-14 20:00:00,17441.566424999997,20773.28816,33.323027930098576,1.0,111023.05643072158,465.33691363086024,553.7830892445329,290.4576737255664,346.28757456512324,636.7452482906897,0.0,0.0,110003.93642784619,19.102193311172183,SIGNAL_EXIT,24
SOLUSDT,2023-01-14 20:00:00,2023-01-29 12:00:00,23.061525,24.347820000000002,29968.605215988464,1.0,38548.46704629996,553.3400627731372,583.7361643599587,345.388175114234,365.01761153065536,710.4057866448893,0.0,0.0,37411.39081916686,5.577666698104322,SIGNAL_EXIT,88
BNBUSDT,2023-01-29 12:00:00,2023-01-30 12:00:00,317.05844999999994,306.64660000000003,2297.6936905802704,1.0,-23923.242052267964,583.2691754284707,563.6639664463137,364.0695652723504,352.46621213495933,716.5357774073098,0.0,0.0,-25070.17519414275,-3.2838897685899564,SIGNAL_EXIT,6
BTCUSDT,2023-01-30 12:00:00,2023-01-31 04:00:00,23089.008735,22824.04227,30.467010911119242,1.0,-8072.7361802356245,563.2130352731565,556.3042759007495,351.55076514546073,347.864104490134,699.4148696355948,0.0,0.0,-9192.25349140953,-1.1475870100839032,SIGNAL_EXIT,4
BNBUSDT,2023-01-31 04:00:00,2023-02-01 08:00:00,311.9559,307.64610000000005,2225.533100568241,1.0,-9591.60255682887,555.8592324800289,547.7412630485818,346.96061037853127,342.5095441773736,689.4701545559049,0.0,0.0,-10695.20305235748,-1.381541429413561,SIGNAL_EXIT,7
BTCUSDT,2023-02-01 08:00:00,2023-02-02 04:00:00,23088.208334999996,23836.6757,29.607387656901125,1.0,22160.16342409443,547.3030700381429,564.593358321388,341.61995726011503,353.0473726371495,694.6673298972646,0.0,0.0,21048.2669957349,3.241773264257078,SIGNAL_EXIT,5
BNBUSDT,2023-02-02 04:00:00,2023-02-10 16:00:00,327.7638,305.94695,2149.758340792299,1.0,-46900.95525731444,564.141683634731,526.1696060819716,352.13041622173694,329.0205140582774,681.1509302800143,0.0,0.0,-47991.26654703115,-6.656271986107065,SIGNAL_EXIT,51
BNBUSDT,2023-02-10 20:00:00,2023-02-11 00:00:00,308.7543,305.74705,2126.804677136433,1.0,-6395.833365318536,525.7486703971059,520.2114047685335,328.1659616821046,325.29477536796577,653.4607370500703,0.0,0.0,-7441.793440484176,-0.9739945322218991,SIGNAL_EXIT,1
BNBUSDT,2023-02-11 16:00:00,2023-02-11 20:00:00,309.25455,308.44570000000004,2099.319959302955,1.0,-1698.03494908209,519.7952356447187,518.0209714969372,324.4498997102129,323.92506972039956,648.3749694306125,0.0,0.0,-2735.851156223746,-0.26154829411562414,SIGNAL_EXIT,1
BNBUSDT,2023-02-12 00:00:00,2023-02-13 12:00:00,310.65524999999997,292.35375,2081.054760365244,1.0,-38086.423696824466,517.6065547197397,486.7233305185043,323.083751546635,304.35425870343585,627.4380102500709,0.0,0.0,-39090.753582062716,-5.8912572699157595,SIGNAL_EXIT,9
SOLUSDT,2023-02-14 16:00:00,2023-02-15 12:00:00,21.900945,22.098945,27735.38337572912,1.0,5491.605908394377,486.3339518540896,490.3381694193218,303.5637710473424,306.61466321865566,610.178434265998,0.0,0.0,4514.9337871209655,0.9040705777764403,SIGNAL_EXIT,5
ETHUSDT,2023-02-15 12:00:00,2023-02-15 16:00:00,1573.04613,1578.71025,389.017471284106,1.0,2203.441639449785,489.94589888378624,491.3166954762391,305.8183047005577,307.22654794658877,613.0448526471464,0.0,0.0,1222.1790450897595,0.3600733565264319,SIGNAL_EXIT,1
BTCUSDT,2023-02-15 16:00:00,2023-02-20 04:00:00,22820.864729999998,24405.651070000004,26.868553679372468,1.0,42580.91684662639,490.92364211985813,524.5956366834635,306.4286002037061,328.03629107262174,634.4648912763278,0.0,0.0,41565.39756782306,6.944462266220208,SIGNAL_EXIT,27
SOLUSDT,2023-02-20 04:00:00,2023-02-22 08:00:00,26.17308,23.80809,25014.08983037043,1.0,-59158.07230792774,524.1759601741167,476.43016155963517,327.1842949812114,297.9178098797196,625.1021048609309,0.0,0.0,-60158.678429661486,-9.035963669541372,SIGNAL_EXIT,13
BTCUSDT,2023-02-22 08:00:00,2023-03-02 00:00:00,24071.759865,23617.94512,24.700529836834757,1.0,-11209.46464926805,476.04901743038744,466.7006064970287,297.1440393656047,291.8337959585749,588.9778353241796,0.0,0.0,-12152.214273195465,-1.8852578604352064,SIGNAL_EXIT,46
ETHUSDT,2023-03-02 00:00:00,2023-03-03 04:00:00,1666.0626149999998,1564.6472850000002,349.5923412631026,1.0,-35454.02265467002,466.32724601183105,437.5909660912857,291.07582722071004,273.63116939168833,564.7069966123984,0.0,0.0,-36357.94086677314,-6.087125963149926,SIGNAL_EXIT,7
BNBUSDT,2023-03-13 08:00:00,2023-03-13 12:00:00,304.9524,296.65160000000003,1790.8167824050481,1.0,-14865.21194738779,437.2408933184126,424.9989310458476,272.9204776385295,265.7572105088751,538.6776881474046,0.0,0.0,-15727.45177175205,-2.721998580762106,SIGNAL_EXIT,1
ETHUSDT,2023-03-13 16:00:00,2023-03-15 12:00:00,1665.5223449999999,1679.0700450000002,318.45805463772547,1.0,4314.37418681561,424.6589319010109,427.7707041049426,265.0669694873754,267.4904352832046,532.55740477058,0.0,0.0,3461.944550809657,0.8134204888136943,SIGNAL_EXIT,11
BTCUSDT,2023-03-15 12:00:00,2023-03-16 08:00:00,24765.646634999997,24603.482105000003,21.556399831089315,1.0,-3495.683447100561,427.4284875416586,424.2899979939449,266.7956926233872,265.313905699024,532.1095983224112,0.0,0.0,-4347.401932636165,-0.6547962683551168,SIGNAL_EXIT,5
BNBUSDT,2023-03-16 08:00:00,2023-03-18 16:00:00,321.3606,332.33375,1647.7261273735537,1.0,18080.745954589165,423.9505659955497,438.07600230642464,264.6248160561731,273.93446867583833,538.5592847320114,0.0,0.0,17218.71938628719,3.4145909610574643,SIGNAL_EXIT,14
BTCUSDT,2023-03-18 16:00:00,2023-04-03 20:00:00,27241.243814999998,28067.039460000004,20.06953885997587,1.0,16573.337787726454,437.7255415045795,450.634031301557,273.2229891749617,281.7871631450084,555.0101523199701,0.0,0.0,15684.978214920317,3.0314168127128363,SIGNAL_EXIT,97
ETHUSDT,2023-04-03 20:00:00,2023-04-10 20:00:00,1819.78944,1887.79563,309.0421447722919,1.0,21016.77881539201,450.27352407651574,466.72672830956805,281.05528814168355,291.85013025858933,572.9054184002729,0.0,0.0,20099.778563005926,3.7370361924948887,SIGNAL_EXIT,42
BTCUSDT,2023-04-10 20:00:00,2023-04-11 16:00:00,29187.636524999998,30179.132885000003,19.95623488776893,1.0,19786.534250527995,466.3533469269205,481.8094916498013,291.09211909628976,301.2815730675967,592.3736921638865,0.0,0.0,18838.371411951273,3.396973780836147,SIGNAL_EXIT,5
SOLUSDT,2023-04-11 16:00:00,2023-04-14 04:00:00,23.33166,25.077455,25771.78953518718,1.0,44992.26131158213,481.4240440564814,517.032713870502,300.49906598025973,323.3070997189067,623.8061656991665,0.0,0.0,43993.80455365514,7.482515174659674,SIGNAL_EXIT,15
ETHUSDT,2023-04-14 04:00:00,2023-04-16 16:00:00,2110.0544999999997,2092.7531000000004,305.8012200805987,1.0,-5290.789229102279,516.6190876994056,511.97316104596416,322.4673865749101,320.1432973023247,642.6106838772348,0.0,0.0,-6319.381477847648,-0.819950385167747,SIGNAL_EXIT,15
BNBUSDT,2023-04-16 16:00:00,2023-04-20 20:00:00,346.07294999999993,316.74155,1846.2665590127524,1.0,-54153.582949026495,511.56358251712743,467.8314652918926,319.31180138117713,292.54093627549554,611.8527376566726,0.0,0.0,-55132.977996835514,-8.475496279035944,SIGNAL_EXIT,25
ETHUSDT,2023-04-21 00:00:00,2023-04-21 08:00:00,1943.95149,1927.4757800000002,300.34393654002866,1.0,-4948.379598691828,467.45720011965903,463.1245306806099,291.7811309092434,289.5976304905787,581.3787613998221,0.0,0.0,-5878.961329492096,-0.8475370956916065,SIGNAL_EXIT,2
BNBUSDT,2023-04-26 00:00:00,2023-04-26 20:00:00,338.56919999999997,328.0359,1707.1245251754315,1.0,-17981.65476103027,462.7540310560654,447.9985040223963,288.84546965966484,280.13913458122374,568.9846042408885,0.0,0.0,-18892.40729610873,-3.1111217440924754,SIGNAL_EXIT,5
BNBUSDT,2023-04-27 00:00:00,2023-04-28 04:00:00,330.7653,326.8365,1690.3299451869764,1.0,-6640.968288650633,447.6401052191785,441.9692185040826,279.4115399394106,276.3689460380691,555.7804859774797,0.0,0.0,-7530.577612373894,-1.1877908595611522,SIGNAL_EXIT,7
BTCUSDT,2023-04-28 04:00:00,2023-04-29 16:00:00,29435.23026,29256.574395,18.738699626142143,1.0,-3347.778590683613,441.6156431292794,438.58412774222904,275.6511435624506,274.25220594185447,549.9033495043051,0.0,0.0,-4227.978361555121,-0.6069457022144614,SIGNAL_EXIT,9
SOLUSDT,2023-04-29 16:00:00,2023-04-30 20:00:00,23.35167,23.16841,23439.580222296907,1.0,-4295.537471538063,438.2332604400353,434.4462438544528,273.5399011941753,271.66473477637925,545.2046359705546,0.0,0.0,-5168.216975832551,-0.7847832724597303,SIGNAL_EXIT,7
BNBUSDT,2023-04-30 20:00:00,2023-05-01 16:00:00,336.06794999999994,330.33475000000004,1613.3322439326696,1.0,-9249.556420914616,434.0986868593692,426.35176277315,270.9591503684307,266.6031533098054,537.562303678236,0.0,0.0,-10110.006870547137,-1.7059645229483795,SIGNAL_EXIT,5
BTCUSDT,2023-05-02 16:00:00,2023-05-03 16:00:00,28554.960344999996,28297.364240000003,18.63379723150169,1.0,-4799.993588194493,426.01068136293156,421.8298779472856,265.9107151535214,263.7755614977618,529.6862766512832,0.0,0.0,-5647.83414750471,-0.9021063306960558,SIGNAL_EXIT,6
